TASK_CODE,ACTIVITY_CODE,DESCRIPTION,TK_CLASSIFICATION,BLOCKBILLING,VAGUE
PA450,A108,"Prepare post-issuance remedial filing, such as reissue or reexamination request, and coordinate supporting declarations. Communicate with the IP office, foreign agents, or other external parties.",Partner,N,N
TR310,A106,"Prepare and file trademark application for {NAME_PLACEHOLDER} Cloud covering medical diagnostic devices, including specimen and first-use information. Communicate with client and inventors to confirm instructions and approvals.",Paralegal,N,N
TR310,A104,"Prepare and file trademark application for {NAME_PLACEHOLDER} One covering financial services, including specimen and first-use information. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N
TR770,A110,"Prepare appeal or opposition materials, including briefs and evidentiary exhibits, for administrative tribunal proceeding. Update docketing, maintain files, and manage prosecution documentation.",Paralegal,N,N
PA350,A102,"Prepare continuing application papers and updated claims set, preserving priority to the parent filing. Conduct targeted legal and factual research to support the task.",Partner,N,N
PA120,A110,"Develop prosecution strategy and timeline, including claim or goods/services positioning for filing. Update docketing, maintain files, and manage prosecution documentation.",Partner,N,N
PA270,A110,"Check application status, maintenance fee schedule, and docket deadlines; report status summary to client. Update docketing, maintain files, and manage prosecution documentation.",Partner,N,N
PA540,A102,"Prepare plant patent application materials, including deposit documentation and drawings, for KR filing. Conduct targeted legal and factual research to support the task.",Paralegal,N,N
PA230,A105,Conduct clearance review of patent claims related to the optical imaging lens system implementation and potential third-party coverage. Coordinate with internal legal team members and paralegals on execution.,Partner,N,N
PA270,A104,"Check application status, maintenance fee schedule, and docket deadlines; report status summary to client. Review and analyze communications, evidence, and filings for accuracy.",Paralegal,N,N
PA499,A104,"Complete IP prosecution work associated with task PA499 and document outcomes for the client. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
TR610,A104,"Prepare and file affidavits, petitions, extensions, declarations, or change of correspondence for prosecution record. Review and analyze communications, evidence, and filings for accuracy.",Paralegal,N,N
TR710,A104,"Draft formal written opinion on registrability, patentability, or clearance implications for the proposed filing. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N
TR440,A104,"Prepare appeal or opposition materials, including briefs and evidentiary exhibits, for administrative tribunal proceeding. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N
PA110,A106,Conduct initial inventor and stakeholder interviews to confirm facts and scope for new IP matter. Communicate with client and inventors to confirm instructions and approvals.,Associate,N,N
PA310,A103,"Draft and finalize provisional patent application materials for GB filing based on cloud security protocol disclosure. Draft and revise required documents, forms, and supporting statements.",Associate,N,N
PA220,A102,Perform patentability prior art search and analyze references relevant to the disclosed wireless sensor. Conduct targeted legal and factual research to support the task.,Paralegal,N,N
PA710,A110,"Draft formal written opinion on registrability, patentability, or clearance implications for the proposed filing. Update docketing, maintain files, and manage prosecution documentation.",Associate,N,N
PA420,A110,"Draft preliminary amendment updating claims or application details prior to substantive examination. Update docketing, maintain files, and manage prosecution documentation.",Partner,N,N
PA450,A101,"Prepare post-issuance remedial filing, such as reissue or reexamination request, and coordinate supporting declarations. Plan work, outline next steps, and coordinate internal timelines.",Partner,N,N
PA399,A102,Complete IP prosecution work associated with task PA399 and document outcomes for the client. Conduct targeted legal and factual research to support the task.,Partner,N,N
TR410,A108,"Prepare and file affidavits, petitions, extensions, declarations, or change of correspondence for prosecution record. Communicate with the IP office, foreign agents, or other external parties.",Associate,N,N
TR250,A111,Monitor trademark publications for potential conflicts and prepare periodic watch report for the portfolio. Perform other related services as required by the matter. Also prepare client update email and confirm filing instructions before submission.,Paralegal,Y,N
TR620,A111,Draft preliminary amendment updating claims or application details prior to substantive examination. Perform other related services as required by the matter. Also summarize key issues for client call and record action items in the prosecution log.,Associate,Y,N
PA720,A104,"Review IP portfolio status, identify upcoming renewals, and recommend prosecution priorities for the next quarter. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
PA140,A101,"Prepare and revise budget estimates for expected prosecution steps, fees, and response cycles. Plan work, outline next steps, and coordinate internal timelines.",Associate,N,N
PA730,A105,Draft assignment documents and record ownership changes with the relevant intellectual property office. Coordinate with internal legal team members and paralegals on execution.,Associate,N,N
PA250,A110,"Set up publication watch alerts and review newly published applications for potential conflicts. Update docketing, maintain files, and manage prosecution documentation.",Partner,N,N
PA530,A110,"Prepare design patent application, including figures coordination and design claim language for CA filing. Update docketing, maintain files, and manage prosecution documentation.",Paralegal,N,N
PA230,A106,Conduct clearance review of patent claims related to the biometric authentication implementation and potential third-party coverage. Communicate with client and inventors to confirm instructions and approvals.,Associate,N,N
PA420,A101,"Draft preliminary amendment updating claims or application details prior to substantive examination. Plan work, outline next steps, and coordinate internal timelines.",Paralegal,N,N
TR310,A103,"Prepare and file trademark application for {NAME_PLACEHOLDER} Cloud covering restaurant services, including specimen and first-use information. Draft and revise required documents, forms, and supporting statements.",Partner,N,N
TR399,A104,"Complete IP prosecution work associated with task TR399 and document outcomes for the client. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
TR310,A103,"Prepare and file trademark application for {NAME_PLACEHOLDER} Cloud covering financial services, including specimen and first-use information. Draft and revise required documents, forms, and supporting statements.",Partner,N,N
PA230,A106,Conduct clearance review of patent claims related to the network intrusion detection implementation and potential third-party coverage. Communicate with client and inventors to confirm instructions and approvals.,Partner,N,N
PA399,A110,"Complete IP prosecution work associated with task PA399 and document outcomes for the client. Update docketing, maintain files, and manage prosecution documentation.",Associate,N,N
PA440,A103,"Prepare appeal or opposition materials, including briefs and evidentiary exhibits, for administrative tribunal proceeding. Draft and revise required documents, forms, and supporting statements.",Associate,N,N
PA299,A102,Complete IP prosecution work associated with task PA299 and document outcomes for the client. Conduct targeted legal and factual research to support the task.,Paralegal,N,N
PA320,A110,"Draft non-provisional patent specification, claims, and abstract for JP filing covering industrial robotics gripper embodiments. Update docketing, maintain files, and manage prosecution documentation.",Paralegal,N,N
PA330,A111,"Prepare design patent application, including figures coordination and design claim language for AU filing. Perform other related services as required by the matter. Also prepare client update email and confirm filing instructions before submission.",Associate,Y,N
PA450,A103,"Prepare post-issuance remedial filing, such as reissue or reexamination request, and coordinate supporting declarations. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
TR399,A104,"Complete IP prosecution work associated with task TR399 and document outcomes for the client. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N
TR399,A104,"Complete IP prosecution work associated with task TR399 and document outcomes for the client. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N
TR399,A106,Complete IP prosecution work associated with task TR399 and document outcomes for the client. Communicate with client and inventors to confirm instructions and approvals.,Partner,N,N
PA330,A103,"Prepare design patent application, including figures coordination and design claim language for US filing. Draft and revise required documents, forms, and supporting statements.",Associate,N,N
PA499,A103,"Complete IP prosecution work associated with task PA499 and document outcomes for the client. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
PA399,A104,"Complete IP prosecution work associated with task PA399 and document outcomes for the client. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
PA560,A110,"Prepare validation filing package for issued regional patent and coordinate required translations and forms. Update docketing, maintain files, and manage prosecution documentation.",Associate,N,N
PA399,A104,"Complete IP prosecution work associated with task PA399 and document outcomes for the client. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
PA730,A110,"Draft assignment documents and record ownership changes with the relevant intellectual property office. Update docketing, maintain files, and manage prosecution documentation.",Partner,N,N
PA310,A103,"Draft and finalize provisional patent application materials for AU filing based on cloud security protocol disclosure. Draft and revise required documents, forms, and supporting statements.",Partner,N,N
TR250,A106,Monitor trademark publications for potential conflicts and prepare periodic watch report for the portfolio. Communicate with client and inventors to confirm instructions and approvals.,Associate,N,N
TR299,A104,"Complete IP prosecution work associated with task TR299 and document outcomes for the client. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
TR410,A104,"Prepare and file affidavits, petitions, extensions, declarations, or change of correspondence for prosecution record. Review and analyze communications, evidence, and filings for accuracy.",Paralegal,N,N
PA270,A104,"Check application status, maintenance fee schedule, and docket deadlines; report status summary to client. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
PA299,A106,Complete IP prosecution work associated with task PA299 and document outcomes for the client. Communicate with client and inventors to confirm instructions and approvals.,Partner,N,N
PA399,A104,"Complete IP prosecution work associated with task PA399 and document outcomes for the client. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
PA230,A106,Conduct clearance review of patent claims related to the network intrusion detection implementation and potential third-party coverage. Communicate with client and inventors to confirm instructions and approvals.,Paralegal,N,N
PA230,A104,"Conduct clearance review of patent claims related to the battery management system implementation and potential third-party coverage. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
PA730,A103,"Draft assignment documents and record ownership changes with the relevant intellectual property office. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
PA199,A103,"Complete IP prosecution work associated with task PA199 and document outcomes for the client. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
TR640,A103,"Prepare appeal or opposition materials, including briefs and evidentiary exhibits, for administrative tribunal proceeding. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
TR270,A104,"Verify trademark application status and renewal dates; update docket and notify client of deadlines. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
TR730,A110,"Draft assignment documents and record ownership changes with the relevant intellectual property office. Update docketing, maintain files, and manage prosecution documentation.",Partner,N,N
PA330,A105,"Prepare design patent application, including figures coordination and design claim language for AU filing. Coordinate with internal legal team members and paralegals on execution.",Partner,N,N
PA450,A103,"Prepare post-issuance remedial filing, such as reissue or reexamination request, and coordinate supporting declarations. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
PA220,A110,"Perform patentability prior art search and analyze references relevant to the disclosed biometric authentication. Update docketing, maintain files, and manage prosecution documentation.",Paralegal,N,N
PA210,A102,Perform patentability prior art search and analyze references relevant to the disclosed data compression algorithm. Conduct targeted legal and factual research to support the task.,Paralegal,N,N
PA440,A103,"Prepare appeal or opposition materials, including briefs and evidentiary exhibits, for administrative tribunal proceeding. Draft and revise required documents, forms, and supporting statements.",Associate,N,N
PA310,A104,"Draft and finalize provisional patent application materials for US filing based on optical imaging lens system disclosure. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
PA299,A102,Complete IP prosecution work associated with task PA299 and document outcomes for the client. Conduct targeted legal and factual research to support the task.,Partner,N,N
TR440,A104,"Prepare appeal or opposition materials, including briefs and evidentiary exhibits, for administrative tribunal proceeding. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
TR199,A111,Complete IP prosecution work associated with task TR199 and document outcomes for the client. Perform other related services as required by the matter. Also prepare client update email and confirm filing instructions before submission.,Paralegal,Y,N
TR310,A106,"Prepare and file trademark application for {NAME_PLACEHOLDER} Secure covering restaurant services, including specimen and first-use information. Communicate with client and inventors to confirm instructions and approvals.",Associate,N,N
PA299,A105,Complete IP prosecution work associated with task PA299 and document outcomes for the client. Coordinate with internal legal team members and paralegals on execution.,Paralegal,N,N
PA350,A101,"Prepare continuing application papers and updated claims set, preserving priority to the parent filing. Plan work, outline next steps, and coordinate internal timelines.",Paralegal,N,N
PA330,A103,"Prepare design patent application, including figures coordination and design claim language for GB filing. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
PA270,A101,"Check application status, maintenance fee schedule, and docket deadlines; report status summary to client. Plan work, outline next steps, and coordinate internal timelines.",Associate,N,N
PA399,A103,"Complete IP prosecution work associated with task PA399 and document outcomes for the client. Draft and revise required documents, forms, and supporting statements.",Associate,N,N
PA250,A102,Set up publication watch alerts and review newly published applications for potential conflicts. Conduct targeted legal and factual research to support the task.,Associate,N,N
PA320,A105,"Draft non-provisional patent specification, claims, and abstract for AU filing covering biometric authentication embodiments. Coordinate with internal legal team members and paralegals on execution.",Partner,N,N
TR730,A104,"Draft assignment documents and record ownership changes with the relevant intellectual property office. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N
TR730,A105,Draft assignment documents and record ownership changes with the relevant intellectual property office. Coordinate with internal legal team members and paralegals on execution.,Partner,N,N
TR230,A104,"Perform full trademark clearance search for {NAME_PLACEHOLDER} Secure covering telecommunications services and analyze likelihood of confusion. Review and analyze communications, evidence, and filings for accuracy.",Paralegal,N,N
PA310,A103,"Draft and finalize provisional patent application materials for AU filing based on cloud security protocol disclosure. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
PA330,A104,"Prepare design patent application, including figures coordination and design claim language for CA filing. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N
PA340,A103,"Prepare plant patent application materials, including deposit documentation and drawings, for CN filing. Draft and revise required documents, forms, and supporting statements.",Partner,N,N
PA740,A106,Negotiate and draft IP license provisions and coordinate execution and recordkeeping for compliance. Communicate with client and inventors to confirm instructions and approvals.,Partner,N,N
PA199,A106,Complete IP prosecution work associated with task PA199 and document outcomes for the client. Communicate with client and inventors to confirm instructions and approvals.,Paralegal,N,N
PA440,A104,"Prepare appeal or opposition materials, including briefs and evidentiary exhibits, for administrative tribunal proceeding. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N
PA250,A102,Set up publication watch alerts and review newly published applications for potential conflicts. Conduct targeted legal and factual research to support the task.,Paralegal,N,N
TR250,A104,"Monitor trademark publications for potential conflicts and prepare periodic watch report for the portfolio. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
TR399,A103,"Complete IP prosecution work associated with task TR399 and document outcomes for the client. Draft and revise required documents, forms, and supporting statements.",Associate,N,N
TR410,A104,"Prepare and file affidavits, petitions, extensions, declarations, or change of correspondence for prosecution record. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
PA220,A106,Perform patentability prior art search and analyze references relevant to the disclosed industrial robotics gripper. Communicate with client and inventors to confirm instructions and approvals.,Paralegal,N,N
PA499,A103,"Complete IP prosecution work associated with task PA499 and document outcomes for the client. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
PA299,A102,Complete IP prosecution work associated with task PA299 and document outcomes for the client. Conduct targeted legal and factual research to support the task.,Associate,N,N
PA430,A104,"Review patent office action, draft response arguments and claim amendments, and file response with the office. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N
PA299,A106,Complete IP prosecution work associated with task PA299 and document outcomes for the client. Communicate with client and inventors to confirm instructions and approvals.,Paralegal,N,N
PA399,A110,"Complete IP prosecution work associated with task PA399 and document outcomes for the client. Update docketing, maintain files, and manage prosecution documentation.",Paralegal,N,N
PA230,A102,Conduct clearance review of patent claims related to the battery management system implementation and potential third-party coverage. Conduct targeted legal and factual research to support the task.,Paralegal,N,N
TR199,A104,"Complete IP prosecution work associated with task TR199 and document outcomes for the client. Review and analyze communications, evidence, and filings for accuracy.",Paralegal,N,N
TR399,A105,Complete IP prosecution work associated with task TR399 and document outcomes for the client. Coordinate with internal legal team members and paralegals on execution.,Partner,N,N
TR760,A105,Prepare and file domain name registration paperwork and coordinate with registrar for ownership confirmation. Coordinate with internal legal team members and paralegals on execution.,Partner,N,N
PA270,A101,"Check application status, maintenance fee schedule, and docket deadlines; report status summary to client. Plan work, outline next steps, and coordinate internal timelines.",Associate,N,N
PA410,A103,"Prepare and file information disclosure statement listing prior art references and related submission forms. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
PA340,A106,"Prepare plant patent application materials, including deposit documentation and drawings, for EP filing. Communicate with client and inventors to confirm instructions and approvals.",Associate,N,N
PA330,A106,"Prepare design patent application, including figures coordination and design claim language for JP filing. Communicate with client and inventors to confirm instructions and approvals.",Partner,N,N
PA330,A106,"Prepare design patent application, including figures coordination and design claim language for US filing. Communicate with client and inventors to confirm instructions and approvals.",Associate,N,N
PA499,A104,"Complete IP prosecution work associated with task PA499 and document outcomes for the client. Review and analyze communications, evidence, and filings for accuracy.",Paralegal,N,N
PA250,A104,"Set up publication watch alerts and review newly published applications for potential conflicts. Review and analyze communications, evidence, and filings for accuracy.",Paralegal,N,N
TR399,A106,Complete IP prosecution work associated with task TR399 and document outcomes for the client. Communicate with client and inventors to confirm instructions and approvals.,Associate,N,N
TR799,A103,"Complete IP prosecution work associated with task TR799 and document outcomes for the client. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
TR310,A105,"Prepare and file trademark application for {NAME_PLACEHOLDER} One covering online education services, including specimen and first-use information. Coordinate with internal legal team members and paralegals on execution.",Partner,N,N
PA620,A103,"Draft preliminary amendment updating claims or application details prior to substantive examination. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
PA330,A104,"Prepare design patent application, including figures coordination and design claim language for GB filing. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N
PA210,A102,Perform patentability prior art search and analyze references relevant to the disclosed biometric authentication. Conduct targeted legal and factual research to support the task.,Associate,N,N
PA450,A103,"Prepare post-issuance remedial filing, such as reissue or reexamination request, and coordinate supporting declarations. Draft and revise required documents, forms, and supporting statements.",Associate,N,N
PA270,A104,"Check application status, maintenance fee schedule, and docket deadlines; report status summary to client. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N
PA440,A103,"Prepare appeal or opposition materials, including briefs and evidentiary exhibits, for administrative tribunal proceeding. Draft and revise required documents, forms, and supporting statements.",Partner,N,N
PA299,A102,Complete IP prosecution work associated with task PA299 and document outcomes for the client. Conduct targeted legal and factual research to support the task.,Paralegal,N,N
TR710,A105,"Draft formal written opinion on registrability, patentability, or clearance implications for the proposed filing. Coordinate with internal legal team members and paralegals on execution.",Associate,N,N
TR310,A103,"Prepare and file trademark application for {NAME_PLACEHOLDER} Labs covering telecommunications services, including specimen and first-use information. Draft and revise required documents, forms, and supporting statements.",Partner,N,N
TR599,A103,"Complete IP prosecution work associated with task TR599 and document outcomes for the client. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
PA199,A103,"Complete IP prosecution work associated with task PA199 and document outcomes for the client. Draft and revise required documents, forms, and supporting statements.",Partner,N,N
PA230,A104,"Conduct clearance review of patent claims related to the autonomous driving module implementation and potential third-party coverage. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N
PA420,A106,Draft preliminary amendment updating claims or application details prior to substantive examination. Communicate with client and inventors to confirm instructions and approvals.,Associate,N,N
PA270,A106,"Check application status, maintenance fee schedule, and docket deadlines; report status summary to client. Communicate with client and inventors to confirm instructions and approvals.",Paralegal,N,N
PA410,A103,"Prepare and file information disclosure statement listing prior art references and related submission forms. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
PA440,A108,"Prepare appeal or opposition materials, including briefs and evidentiary exhibits, for administrative tribunal proceeding. Communicate with the IP office, foreign agents, or other external parties.",Partner,N,N
PA210,A106,Perform patentability prior art search and analyze references relevant to the disclosed cloud security protocol. Communicate with client and inventors to confirm instructions and approvals.,Paralegal,N,N
TR399,A104,"Complete IP prosecution work associated with task TR399 and document outcomes for the client. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
TR310,A103,"Prepare and file trademark application for {NAME_PLACEHOLDER} Secure covering clothing and apparel, including specimen and first-use information. Draft and revise required documents, forms, and supporting statements.",Associate,N,N
TR499,A104,"Complete IP prosecution work associated with task TR499 and document outcomes for the client. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N
PA499,A108,"Complete IP prosecution work associated with task PA499 and document outcomes for the client. Communicate with the IP office, foreign agents, or other external parties.",Associate,N,N
PA350,A110,"Prepare continuing application papers and updated claims set, preserving priority to the parent filing. Update docketing, maintain files, and manage prosecution documentation.",Associate,N,N
PA450,A105,"Prepare post-issuance remedial filing, such as reissue or reexamination request, and coordinate supporting declarations. Coordinate with internal legal team members and paralegals on execution.",Associate,N,N
PA270,A105,"Check application status, maintenance fee schedule, and docket deadlines; report status summary to client. Coordinate with internal legal team members and paralegals on execution.",Paralegal,N,N
PA230,A102,Conduct clearance review of patent claims related to the autonomous driving module implementation and potential third-party coverage. Conduct targeted legal and factual research to support the task.,Associate,N,N
PA210,A102,Perform patentability prior art search and analyze references relevant to the disclosed battery management system. Conduct targeted legal and factual research to support the task.,Partner,N,N
PA450,A101,"Prepare post-issuance remedial filing, such as reissue or reexamination request, and coordinate supporting declarations. Plan work, outline next steps, and coordinate internal timelines.",Paralegal,N,N
TR120,A101,"Develop prosecution strategy and timeline, including claim or goods/services positioning for filing. Plan work, outline next steps, and coordinate internal timelines.",Partner,N,N
TR699,A104,"Complete IP prosecution work associated with task TR699 and document outcomes for the client. Review and analyze communications, evidence, and filings for accuracy.",Paralegal,N,N
TR199,A104,"Complete IP prosecution work associated with task TR199 and document outcomes for the client. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N
PA350,A110,"Prepare continuing application papers and updated claims set, preserving priority to the parent filing. Update docketing, maintain files, and manage prosecution documentation.",Paralegal,N,N
PA730,A101,"Draft assignment documents and record ownership changes with the relevant intellectual property office. Plan work, outline next steps, and coordinate internal timelines.",Paralegal,N,N
PA440,A103,"Prepare appeal or opposition materials, including briefs and evidentiary exhibits, for administrative tribunal proceeding. Draft and revise required documents, forms, and supporting statements.",Partner,N,N
PA410,A103,"Prepare and file information disclosure statement listing prior art references and related submission forms. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
PA399,A103,"Complete IP prosecution work associated with task PA399 and document outcomes for the client. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
PA440,A103,"Prepare appeal or opposition materials, including briefs and evidentiary exhibits, for administrative tribunal proceeding. Draft and revise required documents, forms, and supporting statements.",Associate,N,N
PA270,A104,"Check application status, maintenance fee schedule, and docket deadlines; report status summary to client. Review and analyze communications, evidence, and filings for accuracy.",Paralegal,N,N
TR399,A103,"Complete IP prosecution work associated with task TR399 and document outcomes for the client. Draft and revise required documents, forms, and supporting statements.",Partner,N,N
TR430,A105,"Analyze trademark office action refusals, draft response with amendments, and submit via appropriate portal. Coordinate with internal legal team members and paralegals on execution.",Associate,N,N
TR140,A111,"Prepare and revise budget estimates for expected prosecution steps, fees, and response cycles. Perform other related services as required by the matter. Also review docket deadlines and coordinate e-filing confirmations with paralegal team.",Partner,Y,N
PA430,A112,"Review patent office action, draft response arguments and claim amendments, and file response with the office. Bill travel time associated with in-person meeting, interview, or hearing.",Paralegal,N,N
PA410,A104,"Prepare and file information disclosure statement listing prior art references and related submission forms. Review and analyze communications, evidence, and filings for accuracy.",Paralegal,N,N
PA630,A104,"Review patent office action, draft response arguments and claim amendments, and file response with the office. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N
PA230,A104,"Conduct clearance review of patent claims related to the autonomous driving module implementation and potential third-party coverage. Review and analyze communications, evidence, and filings for accuracy.",Paralegal,N,N
PA410,A106,Prepare and file information disclosure statement listing prior art references and related submission forms. Communicate with client and inventors to confirm instructions and approvals.,Partner,N,N
PA699,A109,"Complete IP prosecution work associated with task PA699 and document outcomes for the client. Attend examiner interview, hearing, or scheduled conference related to the matter.",Paralegal,N,N
PA450,A103,"Prepare post-issuance remedial filing, such as reissue or reexamination request, and coordinate supporting declarations. Draft and revise required documents, forms, and supporting statements.",Associate,N,N
TR399,A104,"Complete IP prosecution work associated with task TR399 and document outcomes for the client. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N
TR510,A110,"Prepare and file trademark application for {NAME_PLACEHOLDER} Secure covering telecommunications services, including specimen and first-use information. Update docketing, maintain files, and manage prosecution documentation.",Paralegal,N,N
TR499,A103,"Complete IP prosecution work associated with task TR499 and document outcomes for the client. Draft and revise required documents, forms, and supporting statements.",Associate,N,N
PA330,A106,"Prepare design patent application, including figures coordination and design claim language for JP filing. Communicate with client and inventors to confirm instructions and approvals.",Paralegal,N,N
PA510,A103,"Draft and finalize provisional patent application materials for CA filing based on wireless sensor disclosure. Draft and revise required documents, forms, and supporting statements.",Partner,N,N
PA230,A104,"Conduct clearance review of patent claims related to the payment tokenization process implementation and potential third-party coverage. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
PA210,A101,"Perform patentability prior art search and analyze references relevant to the disclosed optical imaging lens system. Plan work, outline next steps, and coordinate internal timelines.",Associate,N,N
PA270,A104,"Check application status, maintenance fee schedule, and docket deadlines; report status summary to client. Review and analyze communications, evidence, and filings for accuracy.",Paralegal,N,N
PA710,A103,"Draft formal written opinion on registrability, patentability, or clearance implications for the proposed filing. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
PA350,A102,"Prepare continuing application papers and updated claims set, preserving priority to the parent filing. Conduct targeted legal and factual research to support the task.",Partner,N,N
TR199,A106,Complete IP prosecution work associated with task TR199 and document outcomes for the client. Communicate with client and inventors to confirm instructions and approvals.,Partner,N,N
TR410,A108,"Prepare and file affidavits, petitions, extensions, declarations, or change of correspondence for prosecution record. Communicate with the IP office, foreign agents, or other external parties.",Associate,N,N
TR510,A104,"Prepare and file trademark application for {NAME_PLACEHOLDER} Edge covering computer hardware, including specimen and first-use information. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
PA499,A105,Complete IP prosecution work associated with task PA499 and document outcomes for the client. Coordinate with internal legal team members and paralegals on execution.,Paralegal,N,N
PA250,A102,Set up publication watch alerts and review newly published applications for potential conflicts. Conduct targeted legal and factual research to support the task.,Associate,N,N
PA220,A104,"Perform patentability prior art search and analyze references relevant to the disclosed cloud security protocol. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
PA270,A106,"Check application status, maintenance fee schedule, and docket deadlines; report status summary to client. Communicate with client and inventors to confirm instructions and approvals.",Partner,N,N
PA350,A103,"Prepare continuing application papers and updated claims set, preserving priority to the parent filing. Draft and revise required documents, forms, and supporting statements.",Associate,N,N
