TASK_CODE,ACTIVITY_CODE,DESCRIPTION,TK_CLASSIFICATION,BLOCKBILLING,VAGUE
L160,A327,Track comments received from transaction parties for IPO,Paralegal,N,N
L130,A328,Negotiate key legal terms for follow on equity offering,Partner,N,N
L110,A329,Review board approval strategy for follow on equity offering,Partner,N,N
L170,A330,Analyze securities law implications of investor communications for follow on equity offering,Partner,N,N
L130,A331,Review final legal opinion framework for follow on equity offering,Partner,N,N
L170,A332,Advise on underwriter and placement agent obligations for follow on equity offering,Partner,N,N
L150,A333,Review disclosure risk allocation for follow on equity offering,Partner,N,N
L160,A334,Discuss timing and execution risks for follow on equity offering,Partner,N,N
L130,A335,Prepare initial draft of transaction agreement for follow on equity offering,Associate,N,N
L130,A336,Revise purchase agreement based on client comments for follow on equity offering,Associate,N,N
L150,A337,Draft risk factor updates for follow on equity offering,Associate,N,N
L120,A338,Prepare responses to diligence questions for follow on equity offering,Associate,N,N
L150,A339,Review financial statement references in offering materials for follow on equity offering,Associate,N,N
L170,A340,Research SEC guidance relevant to follow on equity offering,Associate,N,N
L110,A1000,Draft registration statement; review risk factors; coordinate with client and underwriters; revise disclosures based on feedback,Partner,Y,N
L110,A1001,Conduct due diligence review; analyze agreements; prepare diligence memo; participate in diligence calls with stakeholders,Partner,Y,N
L110,A1002,Draft underwriting agreement; negotiate key terms; revise based on counterparty comments; finalize execution version,Partner,Y,N
L110,A1003,Prepare SEC filing documents; review compliance requirements; coordinate EDGAR submission; confirm acceptance,Partner,Y,N
L110,A1004,Manage transaction closing process; prepare closing checklist; coordinate signatures; distribute executed documents,Partner,Y,N
L110,A1005,Review prospectus; verify financial disclosures; coordinate revisions; prepare final filing materials,Partner,Y,N
L110,A1006,Advise on securities compliance; review communications; revise materials; ensure regulatory alignment,Partner,Y,N
L110,A1007,Prepare board and shareholder approvals; draft resolutions; revise documentation; finalize approvals for execution,Partner,Y,N
L110,A1008,Coordinate blue sky compliance; prepare filings; review state requirements; confirm completion across jurisdictions,Partner,Y,N
L110,A1009,Draft legal opinion; review supporting documents; revise opinion language; finalize for transaction closing,Partner,Y,N
