LINE_ITEM_TYPE,TASK_CODE,ACTIVITY_CODE,EXPENSE_CODE,DESCRIPTION,TK_CLASSIFICATION,BLOCKBILLING,VAGUE,MISMATCH,PROHIBITED_ADMIN,MIN_AMOUNT,MAX_AMOUNT,MIN_UNITS,MAX_UNITS,UNIT_COST,RECEIPT_REQUIRED,GENERATE_RECEIPT
FEE,L120,A178,,Analyze material contracts for disclosure issues in investment grade notes offering,Associate,N,N,N,N,,,,,,,
FEE,L160,A179,,Organize signature pages for investment grade notes offering,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A180,,Compile due diligence index for investment grade notes offering,Paralegal,N,N,N,N,,,,,,,
FEE,L170,A181,,Advise client on transaction structure for de-SPAC transaction,Partner,N,N,N,N,,,,,,,
FEE,L110,A182,,Participate in strategy call with client executives regarding de-SPAC transaction,Partner,N,N,N,N,,,,,,,
FEE,L170,A183,,Review principal legal issues affecting de-SPAC transaction,Partner,N,N,N,N,,,,,,,
FEE,L160,A184,,Draft transaction timeline and work plan for de-SPAC transaction,Associate,N,N,N,N,,,,,,,
FEE,L120,A185,,Review company charter documents in connection with de-SPAC transaction,Associate,N,N,N,N,,,,,,,
FEE,L120,A186,,Analyze material contracts for disclosure issues in de-SPAC transaction,Associate,N,N,N,N,,,,,,,
FEE,L160,A187,,Organize signature pages for de-SPAC transaction,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A188,,Compile due diligence index for de-SPAC transaction,Paralegal,N,N,N,N,,,,,,,
FEE,L170,A189,,Advise client on transaction structure for secondary share sale,Partner,N,N,N,N,,,,,,,
FEE,L110,A190,,Participate in strategy call with client executives regarding secondary share sale,Partner,N,N,N,N,,,,,,,
FEE,L170,A191,,Review principal legal issues affecting secondary share sale,Partner,N,N,N,N,,,,,,,
FEE,L160,A192,,Draft transaction timeline and work plan for secondary share sale,Associate,N,N,N,N,,,,,,,
FEE,L120,A193,,Review company charter documents in connection with secondary share sale,Associate,N,N,N,N,,,,,,,
FEE,L120,A194,,Analyze material contracts for disclosure issues in secondary share sale,Associate,N,N,N,N,,,,,,,
FEE,L160,A195,,Organize signature pages for secondary share sale,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A196,,Compile due diligence index for secondary share sale,Paralegal,N,N,N,N,,,,,,,
FEE,L170,A197,,Advise client on transaction structure for preferred stock financing,Partner,N,N,N,N,,,,,,,
FEE,L110,A198,,Participate in strategy call with client executives regarding preferred stock financing,Partner,N,N,N,N,,,,,,,
FEE,L170,A199,,Review principal legal issues affecting preferred stock financing,Partner,N,N,N,N,,,,,,,
FEE,L160,A200,,Draft transaction timeline and work plan for preferred stock financing,Associate,N,N,N,N,,,,,,,
FEE,L120,A201,,Review company charter documents in connection with preferred stock financing,Associate,N,N,N,N,,,,,,,
FEE,L120,A202,,Analyze material contracts for disclosure issues in preferred stock financing,Associate,N,N,N,N,,,,,,,
FEE,L160,A203,,Organize signature pages for preferred stock financing,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A204,,Compile due diligence index for preferred stock financing,Paralegal,N,N,N,N,,,,,,,
FEE,L170,A205,,Advise client on transaction structure for rights offering,Partner,N,N,N,N,,,,,,,
FEE,L110,A206,,Participate in strategy call with client executives regarding rights offering,Partner,N,N,N,N,,,,,,,
FEE,L170,A207,,Review principal legal issues affecting rights offering,Partner,N,N,N,N,,,,,,,
FEE,L160,A208,,Draft transaction timeline and work plan for rights offering,Associate,N,N,N,N,,,,,,,
FEE,L120,A209,,Review company charter documents in connection with rights offering,Associate,N,N,N,N,,,,,,,
FEE,L120,A210,,Analyze material contracts for disclosure issues in rights offering,Associate,N,N,N,N,,,,,,,
FEE,L160,A211,,Organize signature pages for rights offering,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A212,,Compile due diligence index for rights offering,Paralegal,N,N,N,N,,,,,,,
FEE,L170,A213,,Advise client on transaction structure for shelf takedown,Partner,N,N,N,N,,,,,,,
FEE,L110,A214,,Participate in strategy call with client executives regarding shelf takedown,Partner,N,N,N,N,,,,,,,
FEE,L170,A215,,Review principal legal issues affecting shelf takedown,Partner,N,N,N,N,,,,,,,
FEE,L160,A216,,Draft transaction timeline and work plan for shelf takedown,Associate,N,N,N,N,,,,,,,
FEE,L120,A217,,Review company charter documents in connection with shelf takedown,Associate,N,N,N,N,,,,,,,
FEE,L120,A218,,Analyze material contracts for disclosure issues in shelf takedown,Associate,N,N,N,N,,,,,,,
FEE,L160,A219,,Organize signature pages for shelf takedown,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A220,,Compile due diligence index for shelf takedown,Paralegal,N,N,N,N,,,,,,,
FEE,L170,A221,,Advise client on transaction structure for tender offer,Partner,N,N,N,N,,,,,,,
FEE,L110,A222,,Participate in strategy call with client executives regarding tender offer,Partner,N,N,N,N,,,,,,,
FEE,L170,A223,,Review principal legal issues affecting tender offer,Partner,N,N,N,N,,,,,,,
FEE,L160,A224,,Draft transaction timeline and work plan for tender offer,Associate,N,N,N,N,,,,,,,
FEE,L120,A225,,Review company charter documents in connection with tender offer,Associate,N,N,N,N,,,,,,,
FEE,L120,A226,,Analyze material contracts for disclosure issues in tender offer,Associate,N,N,N,N,,,,,,,
FEE,L160,A227,,Organize signature pages for tender offer,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A228,,Compile due diligence index for tender offer,Paralegal,N,N,N,N,,,,,,,
FEE,L170,A229,,Advise client on transaction structure for exchange offer,Partner,N,N,N,N,,,,,,,
FEE,L110,A230,,Participate in strategy call with client executives regarding exchange offer,Partner,N,N,N,N,,,,,,,
FEE,L170,A231,,Review principal legal issues affecting exchange offer,Partner,N,N,N,N,,,,,,,
FEE,L160,A232,,Draft transaction timeline and work plan for exchange offer,Associate,N,N,N,N,,,,,,,
FEE,L120,A233,,Review company charter documents in connection with exchange offer,Associate,N,N,N,N,,,,,,,
FEE,L120,A234,,Analyze material contracts for disclosure issues in exchange offer,Associate,N,N,N,N,,,,,,,
FEE,L160,A235,,Organize signature pages for exchange offer,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A236,,Compile due diligence index for exchange offer,Paralegal,N,N,N,N,,,,,,,
FEE,L170,A237,,Advise client on transaction structure for PIPE transaction,Partner,N,N,N,N,,,,,,,
FEE,L110,A238,,Participate in strategy call with client executives regarding PIPE transaction,Partner,N,N,N,N,,,,,,,
FEE,L170,A239,,Review principal legal issues affecting PIPE transaction,Partner,N,N,N,N,,,,,,,
FEE,L160,A240,,Draft transaction timeline and work plan for PIPE transaction,Associate,N,N,N,N,,,,,,,
FEE,L120,A241,,Review company charter documents in connection with PIPE transaction,Associate,N,N,N,N,,,,,,,
FEE,L120,A242,,Analyze material contracts for disclosure issues in PIPE transaction,Associate,N,N,N,N,,,,,,,
FEE,L160,A243,,Organize signature pages for PIPE transaction,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A244,,Compile due diligence index for PIPE transaction,Paralegal,N,N,N,N,,,,,,,
FEE,L170,A245,,Advise client on transaction structure for block trade,Partner,N,N,N,N,,,,,,,
FEE,L110,A246,,Participate in strategy call with client executives regarding block trade,Partner,N,N,N,N,,,,,,,
FEE,L170,A247,,Review principal legal issues affecting block trade,Partner,N,N,N,N,,,,,,,
FEE,L160,A248,,Draft transaction timeline and work plan for block trade,Associate,N,N,N,N,,,,,,,
FEE,L120,A249,,Review company charter documents in connection with block trade,Associate,N,N,N,N,,,,,,,
FEE,L120,A250,,Analyze material contracts for disclosure issues in block trade,Associate,N,N,N,N,,,,,,,
FEE,L160,A251,,Organize signature pages for block trade,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A252,,Compile due diligence index for block trade,Paralegal,N,N,N,N,,,,,,,
FEE,L170,A253,,Advise client on transaction structure for warrant issuance,Partner,N,N,N,N,,,,,,,
FEE,L110,A254,,Participate in strategy call with client executives regarding warrant issuance,Partner,N,N,N,N,,,,,,,
FEE,L170,A255,,Review principal legal issues affecting warrant issuance,Partner,N,N,N,N,,,,,,,
FEE,L160,A256,,Draft transaction timeline and work plan for warrant issuance,Associate,N,N,N,N,,,,,,,
FEE,L120,A257,,Review company charter documents in connection with warrant issuance,Associate,N,N,N,N,,,,,,,
FEE,L120,A258,,Analyze material contracts for disclosure issues in warrant issuance,Associate,N,N,N,N,,,,,,,
FEE,L160,A259,,Organize signature pages for warrant issuance,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A260,,Compile due diligence index for warrant issuance,Paralegal,N,N,N,N,,,,,,,
FEE,L170,A261,,Advise client on transaction structure for green bond issuance,Partner,N,N,N,N,,,,,,,
FEE,L110,A262,,Participate in strategy call with client executives regarding green bond issuance,Partner,N,N,N,N,,,,,,,
FEE,L170,A263,,Review principal legal issues affecting green bond issuance,Partner,N,N,N,N,,,,,,,
FEE,L160,A264,,Draft transaction timeline and work plan for green bond issuance,Associate,N,N,N,N,,,,,,,
FEE,L120,A265,,Review company charter documents in connection with green bond issuance,Associate,N,N,N,N,,,,,,,
FEE,L120,A266,,Analyze material contracts for disclosure issues in green bond issuance,Associate,N,N,N,N,,,,,,,
FEE,L160,A267,,Organize signature pages for green bond issuance,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A268,,Compile due diligence index for green bond issuance,Paralegal,N,N,N,N,,,,,,,
FEE,L170,A269,,Advise client on transaction structure for medium term notes program,Partner,N,N,N,N,,,,,,,
FEE,L110,A270,,Participate in strategy call with client executives regarding medium term notes program,Partner,N,N,N,N,,,,,,,
FEE,L170,A271,,Review principal legal issues affecting medium term notes program,Partner,N,N,N,N,,,,,,,
FEE,L160,A272,,Draft transaction timeline and work plan for medium term notes program,Associate,N,N,N,N,,,,,,,
FEE,L120,A273,,Review company charter documents in connection with medium term notes program,Associate,N,N,N,N,,,,,,,
FEE,L120,A274,,Analyze material contracts for disclosure issues in medium term notes program,Associate,N,N,N,N,,,,,,,
FEE,L160,A275,,Organize signature pages for medium term notes program,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A276,,Compile due diligence index for medium term notes program,Paralegal,N,N,N,N,,,,,,,
FEE,L170,A277,,Advise client on transaction structure for commercial paper program,Partner,N,N,N,N,,,,,,,
FEE,L110,A278,,Participate in strategy call with client executives regarding commercial paper program,Partner,N,N,N,N,,,,,,,
FEE,L170,A279,,Review principal legal issues affecting commercial paper program,Partner,N,N,N,N,,,,,,,
FEE,L160,A280,,Draft transaction timeline and work plan for commercial paper program,Associate,N,N,N,N,,,,,,,
FEE,L120,A281,,Review company charter documents in connection with commercial paper program,Associate,N,N,N,N,,,,,,,
FEE,L120,A282,,Analyze material contracts for disclosure issues in commercial paper program,Associate,N,N,N,N,,,,,,,
FEE,L160,A283,,Organize signature pages for commercial paper program,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A284,,Compile due diligence index for commercial paper program,Paralegal,N,N,N,N,,,,,,,
FEE,L170,A285,,Advise client on transaction structure for dual listing project,Partner,N,N,N,N,,,,,,,
FEE,L110,A286,,Participate in strategy call with client executives regarding dual listing project,Partner,N,N,N,N,,,,,,,
FEE,L170,A287,,Review principal legal issues affecting dual listing project,Partner,N,N,N,N,,,,,,,
FEE,L160,A288,,Draft transaction timeline and work plan for dual listing project,Associate,N,N,N,N,,,,,,,
FEE,L120,A289,,Review company charter documents in connection with dual listing project,Associate,N,N,N,N,,,,,,,
FEE,L120,A290,,Analyze material contracts for disclosure issues in dual listing project,Associate,N,N,N,N,,,,,,,
FEE,L160,A291,,Organize signature pages for dual listing project,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A292,,Compile due diligence index for dual listing project,Paralegal,N,N,N,N,,,,,,,
FEE,L170,A293,,Advise client on transaction structure for uplisting transaction,Partner,N,N,N,N,,,,,,,
FEE,L110,A294,,Participate in strategy call with client executives regarding uplisting transaction,Partner,N,N,N,N,,,,,,,
FEE,L170,A295,,Review principal legal issues affecting uplisting transaction,Partner,N,N,N,N,,,,,,,
FEE,L160,A296,,Draft transaction timeline and work plan for uplisting transaction,Associate,N,N,N,N,,,,,,,
FEE,L120,A297,,Review company charter documents in connection with uplisting transaction,Associate,N,N,N,N,,,,,,,
FEE,L120,A298,,Analyze material contracts for disclosure issues in uplisting transaction,Associate,N,N,N,N,,,,,,,
FEE,L160,A299,,Organize signature pages for uplisting transaction,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A300,,Compile due diligence index for uplisting transaction,Paralegal,N,N,N,N,,,,,,,
FEE,L130,A301,,Negotiate key legal terms for IPO,Partner,N,N,N,N,,,,,,,
FEE,L110,A302,,Review board approval strategy for IPO,Partner,N,N,N,N,,,,,,,
FEE,L170,A303,,Analyze securities law implications of investor communications for IPO,Partner,N,N,N,N,,,,,,,
FEE,L130,A304,,Review final legal opinion framework for IPO,Partner,N,N,N,N,,,,,,,
FEE,L170,A305,,Advise on underwriter and placement agent obligations for IPO,Partner,N,N,N,N,,,,,,,
FEE,L150,A306,,Review disclosure risk allocation for IPO,Partner,N,N,N,N,,,,,,,
FEE,L160,A307,,Discuss timing and execution risks for IPO,Partner,N,N,N,N,,,,,,,
FEE,L130,A308,,Prepare initial draft of transaction agreement for IPO,Associate,N,N,N,N,,,,,,,
FEE,L130,A309,,Revise purchase agreement based on client comments for IPO,Associate,N,N,N,N,,,,,,,
FEE,L150,A310,,Draft risk factor updates for IPO,Associate,N,N,N,N,,,,,,,
FEE,L120,A311,,Prepare responses to diligence questions for IPO,Associate,N,N,N,N,,,,,,,
FEE,L150,A312,,Review financial statement references in offering materials for IPO,Associate,N,N,N,N,,,,,,,
FEE,L170,A313,,Research SEC guidance relevant to IPO,Associate,N,N,N,N,,,,,,,
FEE,L160,A314,,Prepare draft closing checklist for IPO,Associate,N,N,N,N,,,,,,,
FEE,L130,A315,,Review lock up agreement comments for IPO,Associate,N,N,N,N,,,,,,,
FEE,L160,A316,,Draft officer certificate for IPO,Associate,N,N,N,N,,,,,,,
FEE,L150,A317,,Prepare backup support for disclosure statements in IPO,Associate,N,N,N,N,,,,,,,
FEE,L170,A318,,Review investor presentation for securities law compliance in IPO,Associate,N,N,N,N,,,,,,,
FEE,L180,A319,,Analyze exchange listing rules applicable to IPO,Associate,N,N,N,N,,,,,,,
FEE,L140,A320,,Prepare EDGAR filing package for IPO,Paralegal,N,N,N,N,,,,,,,
FEE,L160,A321,,Coordinate document execution logistics for IPO,Paralegal,N,N,N,N,,,,,,,
FEE,L160,A322,,Maintain closing checklist status for IPO,Paralegal,N,N,N,N,,,,,,,
FEE,L160,A323,,Collect officer and secretary certificates for IPO,Paralegal,N,N,N,N,,,,,,,
FEE,L160,A324,,Assemble closing binder materials for IPO,Paralegal,N,N,N,N,,,,,,,
FEE,L160,A325,,Circulate draft document set for internal review for IPO,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A326,,Prepare capitalization table backup folder for IPO,Paralegal,N,N,N,N,,,,,,,
FEE,L160,A327,,Track comments received from transaction parties for IPO,Paralegal,N,N,N,N,,,,,,,
FEE,L130,A328,,Negotiate key legal terms for follow on equity offering,Partner,N,N,N,N,,,,,,,
FEE,L110,A329,,Review board approval strategy for follow on equity offering,Partner,N,N,N,N,,,,,,,
FEE,L170,A330,,Analyze securities law implications of investor communications for follow on equity offering,Partner,N,N,N,N,,,,,,,
FEE,L130,A331,,Review final legal opinion framework for follow on equity offering,Partner,N,N,N,N,,,,,,,
FEE,L170,A332,,Advise on underwriter and placement agent obligations for follow on equity offering,Partner,N,N,N,N,,,,,,,
FEE,L150,A333,,Review disclosure risk allocation for follow on equity offering,Partner,N,N,N,N,,,,,,,
FEE,L160,A334,,Discuss timing and execution risks for follow on equity offering,Partner,N,N,N,N,,,,,,,
FEE,L130,A335,,Prepare initial draft of transaction agreement for follow on equity offering,Associate,N,N,N,N,,,,,,,
FEE,L130,A336,,Revise purchase agreement based on client comments for follow on equity offering,Associate,N,N,N,N,,,,,,,
FEE,L150,A337,,Draft risk factor updates for follow on equity offering,Associate,N,N,N,N,,,,,,,
FEE,L120,A338,,Prepare responses to diligence questions for follow on equity offering,Associate,N,N,N,N,,,,,,,
FEE,L150,A339,,Review financial statement references in offering materials for follow on equity offering,Associate,N,N,N,N,,,,,,,
FEE,L170,A340,,Research SEC guidance relevant to follow on equity offering,Associate,N,N,N,N,,,,,,,
FEE,L110,A1000,,Draft registration statement; review risk factors; coordinate with client and underwriters; revise disclosures based on feedback,Partner,Y,N,N,N,,,,,,,
FEE,L110,A1001,,Conduct due diligence review; analyze agreements; prepare diligence memo; participate in diligence calls with stakeholders,Partner,Y,N,N,N,,,,,,,
FEE,L110,A1002,,Draft underwriting agreement; negotiate key terms; revise based on counterparty comments; finalize execution version,Partner,Y,N,N,N,,,,,,,
FEE,L110,A1003,,Prepare SEC filing documents; review compliance requirements; coordinate EDGAR submission; confirm acceptance,Partner,Y,N,N,N,,,,,,,
FEE,L110,A1004,,Manage transaction closing process; prepare closing checklist; coordinate signatures; distribute executed documents,Partner,Y,N,N,N,,,,,,,
FEE,L110,A1005,,Review prospectus; verify financial disclosures; coordinate revisions; prepare final filing materials,Partner,Y,N,N,N,,,,,,,
FEE,L110,A1006,,Advise on securities compliance; review communications; revise materials; ensure regulatory alignment,Partner,Y,N,N,N,,,,,,,
FEE,L110,A1007,,Prepare board and shareholder approvals; draft resolutions; revise documentation; finalize approvals for execution,Partner,Y,N,N,N,,,,,,,
FEE,L110,A1008,,Coordinate blue sky compliance; prepare filings; review state requirements; confirm completion across jurisdictions,Partner,Y,N,N,N,,,,,,,
FEE,L110,A1009,,Draft legal opinion; review supporting documents; revise opinion language; finalize for transaction closing,Partner,Y,N,N,N,,,,,,,
FEE,L120,A341,,Draft underwriting agreement for Rule 144A senior notes offering,Associate,N,N,Y,N,,,,,,,
FEE,L180,A342,,Analyze material customer and supplier contracts for disclosure issues in IPO due diligence,Associate,N,N,Y,N,,,,,,,
FEE,L160,A343,,Prepare EDGAR filing package for shelf registration statement,Paralegal,N,N,Y,N,,,,,,,
FEE,L110,A344,,Draft risk factor disclosure updates for at the market offering program,Associate,N,N,Y,N,,,,,,,
FEE,L140,A345,,Advise issuer on transaction structure for convertible notes offering,Partner,N,N,Y,N,,,,,,,
FEE,L150,A346,,Maintain closing checklist and track completion items for private placement,Paralegal,N,N,Y,N,,,,,,,
FEE,L130,A347,,Research NYSE listing standards applicable to proposed uplisting transaction,Associate,N,N,Y,N,,,,,,,
FEE,L170,A348,,Negotiate purchase agreement terms for follow on equity offering,Partner,N,N,Y,N,,,,,,,
FEE,L140,A349,,Compile due diligence index for preferred stock financing,Paralegal,N,N,Y,N,,,,,,,
FEE,L160,A350,,Review investor presentation for securities law compliance in registered direct offering,Associate,N,N,Y,N,,,,,,,
FEE,L160,A351,,Schedule IPO diligence calls and circulate calendar invitations to transaction participants,Paralegal,N,N,N,Y,,,,,,,
FEE,L160,A352,,Create and update distribution list for issuer underwriters auditors and financial printer,Paralegal,N,N,N,Y,,,,,,,
FEE,L160,A353,,Rename executed signature page files and upload them to the transaction workspace,Paralegal,N,N,N,Y,,,,,,,
FEE,L140,A354,,Download EDGAR filing acceptance notice and save copy to the matter folder,Paralegal,N,N,N,Y,,,,,,,
FEE,L150,A355,,Convert final prospectus to PDF and add bookmarks for internal filing,Paralegal,N,N,N,Y,,,,,,,
FEE,L160,A356,,Assemble electronic closing binder by copying final documents into indexed folders,Paralegal,N,N,N,Y,,,,,,,
FEE,L160,A357,,Update transaction checklist status based solely on routine email confirmations,Paralegal,N,N,N,Y,,,,,,,
FEE,L130,A358,,Run document comparison software and save redline copies of offering agreements,Paralegal,N,N,N,Y,,,,,,,
FEE,L120,A359,,Organize due diligence data room folders and standardize uploaded file names,Paralegal,N,N,N,Y,,,,,,,
FEE,L160,A360,,Arrange courier delivery of original note certificates for transaction closing,Paralegal,N,N,N,Y,,,,,,,
FEE,L110,A361,,Reserve conference room and set up dial in details for offering drafting session,Paralegal,N,N,N,Y,,,,,,,
