LINE_ITEM_TYPE,TASK_CODE,ACTIVITY_CODE,EXPENSE_CODE,DESCRIPTION,TK_CLASSIFICATION,BLOCKBILLING,VAGUE,MISMATCH,PROHIBITED_ADMIN,MIN_AMOUNT,MAX_AMOUNT,MIN_UNITS,MAX_UNITS,UNIT_COST,RECEIPT_REQUIRED,GENERATE_RECEIPT
FEE,L110,A101,,Conference with {NAME_PLACEHOLDER} re strategy regarding expert strategy,Partner,N,N,N,N,,,,,,,
FEE,L120,A112,,Review case assessment and litigation priorities regarding litigation strategy,Partner,N,N,N,N,,,,,,,
FEE,L230,A103,,Review motion package for local rule compliance re compliance with local rules,Paralegal,N,N,N,N,,,,,,,
FEE,L300,A110,,Approve deposition strategy re trial preparation with {NAME_PLACEHOLDER},Partner,N,N,N,N,,,,,,,
FEE,L300,A110,,Prepare hearing strategy regarding deposition strategy with {NAME_PLACEHOLDER},Paralegal,N,N,N,N,,,,,,,
FEE,L320,A107,,Draft subpoena to third party re compliance with local rules,Associate,N,N,N,N,,,,,,,
FEE,L300,A107,,Draft notice of deposition re trial preparation,Paralegal,N,N,N,N,,,,,,,
FEE,L400,A105,,Assess risk and exposure estimates re trial preparation,Partner,N,N,N,N,,,,,,,
FEE,L300,A110,,Evaluate removal/remand options regarding deposition strategy with {NAME_PLACEHOLDER},Partner,N,N,N,N,,,,,,,
FEE,L120,A105,,Research sanctions standards regarding litigation strategy,Associate,N,N,N,N,,,,,,,
FEE,L200,A107,,Draft mediation brief re motion practice,Associate,N,N,N,N,,,,,,,
FEE,L300,A110,,Analyze case chronology regarding deposition strategy with {NAME_PLACEHOLDER},Paralegal,N,N,N,N,,,,,,,
FEE,L430,A107,,Draft responses to RFPs and RFAs re compliance with local rules,Associate,N,N,N,N,,,,,,,
FEE,L430,A106,,Evaluate settlement options re compliance with local rules,Partner,N,N,N,N,,,,,,,
FEE,L300,A110,,Approve deposition strategy re settlement framework with {NAME_PLACEHOLDER},Partner,N,N,N,N,,,,,,,
FEE,L200,A111,,Attend hearing and argue motion re mediation planning,Partner,N,N,N,N,,,,,,,
FEE,L300,A110,,Prepare deposition cross outline with {NAME_PLACEHOLDER},Associate,N,N,N,N,,,,,,,
FEE,L300,A103,,Review motion package for local rule compliance re compliance with local rules; Track discovery deficiencies; Prepare witness availability chart re discovery issues; Analyze exhibit set for hearing strategy,Paralegal,Y,N,N,N,,,,,,,
FEE,L300,A107,,Prepare interrogatories and RFPs re settlement framework; Draft notice of removal re mediation planning; Analyze document production for key facts,Associate,Y,N,N,N,,,,,,,
FEE,L510,A105,,Research expert admissibility (Daubert) re compliance with local rules,Associate,N,N,N,N,,,,,,,
FEE,L110,A101,,Draft letter to {NAME_PLACEHOLDER} re settlement positions re compliance with local rules,Associate,N,N,N,N,,,,,,,
FEE,L400,A101,,Draft pretrial conference statement with {NAME_PLACEHOLDER},Associate,N,N,N,N,,,,,,,
FEE,L300,A101,,Strategy conference re case posture regarding deposition strategy,Partner,N,N,N,N,,,,,,,
FEE,L200,A111,,Finalize motion submission strategy re compliance with local rules,Paralegal,N,N,N,N,,,,,,,
FEE,L300,A107,,Draft initial disclosures regarding deposition strategy with {NAME_PLACEHOLDER},Associate,N,N,N,N,,,,,,,
FEE,L300,A110,,Prepare deposition strategy for {NAME_PLACEHOLDER} regarding litigation strategy,Paralegal,N,N,N,N,,,,,,,
FEE,L200,A110,,Mentor Associate on brief structure re settlement framework,Partner,N,N,N,N,,,,,,,
FEE,L200,A107,,Draft motion for summary judgment re motion practice,Associate,N,N,N,N,,,,,,,
FEE,L200,A111,,Attend hearing and argue motion re settlement framework,Partner,N,N,N,N,,,,,,,
FEE,L300,A101,,Conference with {NAME_PLACEHOLDER} re strategy re discovery issues,Partner,N,N,N,N,,,,,,,
FEE,L200,A107,,Draft opposition to motion to compel regarding litigation strategy,Associate,N,N,N,N,,,,,,,
FEE,L400,A107,,Draft subpoena to third party re trial preparation,Associate,N,N,N,N,,,,,,,
FEE,L110,A101,,Review document vendor output for production issues regarding expert strategy,Paralegal,N,N,N,N,,,,,,,
FEE,L200,A110,,Analyze case chronology re motion practice,Paralegal,N,N,N,N,,,,,,,
FEE,L200,A102,,Research sanctions standards; Prepare deposition cross outline with {NAME_PLACEHOLDER} re compliance with local rules; Draft protective order re compliance with local rules; Meet and confer with opposing counsel regarding expert strategy; Draft motion to dismiss re motion practice,Associate,Y,N,N,N,,,,,,,
FEE,L400,A111,,Prepare hearing strategy re compliance with local rules,Paralegal,N,N,N,N,,,,,,,
FEE,L200,A110,,Mentor Associate on brief structure re settlement framework,Partner,N,N,N,N,,,,,,,
FEE,L200,A112,,Review discovery plan and priorities re motion practice,Partner,N,N,N,N,,,,,,,
FEE,L240,A113,,Assess risk and exposure estimates re mediation planning,Partner,N,N,N,N,,,,,,,
FEE,L200,A107,,Draft motion for summary judgment re mediation planning,Associate,N,N,N,N,,,,,,,
FEE,L300,A110,,Review correspondence for litigation strategy regarding deposition strategy,Paralegal,N,N,N,N,,,,,,,
FEE,L200,A105,,Prepare jury instructions research re motion practice,Associate,N,N,N,N,,,,,,,
FEE,L200,A107,,Draft opposition to motion to compel re settlement framework,Associate,N,N,N,N,,,,,,,
FEE,L200,A107,,Draft motion to dismiss re motion practice,Associate,N,N,N,N,,,,,,,
FEE,L500,A105,,Evaluate appeal issues regarding expert strategy,Partner,N,N,N,N,,,,,,,
FEE,L240,A112,,Analyze opposing counsel tactics re settlement framework,Partner,N,N,N,N,,,,,,,
FEE,L320,A102,,Meet and confer with opposing counsel regarding procedural strategy,Associate,N,N,N,N,,,,,,,
FEE,L340,A112,,Review and analyze case law updates re settlement framework,Associate,N,N,N,N,,,,,,,
FEE,L400,A113,,Analyze exhibit set for hearing strategy re mediation planning,Paralegal,N,N,N,N,,,,,,,
FEE,L320,A105,,Legal research on dispositive issues regarding procedural strategy,Associate,N,N,N,N,,,,,,,
FEE,L110,A101,,Strategy conference re case posture regarding litigation strategy with {NAME_PLACEHOLDER},Partner,N,N,N,N,,,,,,,
FEE,L200,A107,,Draft reply brief regarding deposition strategy,Associate,N,N,N,N,,,,,,,
FEE,L120,A113,,Review correspondence for litigation strategy regarding litigation strategy,Paralegal,N,N,N,N,,,,,,,
FEE,L300,A101,,Draft letter to {NAME_PLACEHOLDER} re settlement positions regarding deposition strategy,Associate,N,N,N,N,,,,,,,
FEE,L400,A103,,Review motion package for local rule compliance re trial preparation,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A113,,Analyze upcoming litigation milestones re compliance with local rules,Paralegal,N,N,N,N,,,,,,,
FEE,L300,A110,,Analyze service requirements under applicable rules regarding deposition strategy with {NAME_PLACEHOLDER},Paralegal,N,N,N,N,,,,,,,
FEE,L300,A105,,Research expert admissibility (Daubert) regarding deposition strategy with {NAME_PLACEHOLDER},Associate,N,N,N,N,,,,,,,
FEE,L440,A107,,Assess risk and exposure estimates re settlement framework,Partner,N,N,N,N,,,,,,,
FEE,L200,A101,,Strategy conference re case posture re motion practice with {NAME_PLACEHOLDER},Partner,N,N,N,N,,,,,,,
FEE,L340,A111,,Compile record citations re compliance with local rules,Paralegal,N,N,N,N,,,,,,,
FEE,L330,A109,,Analyze service requirements under applicable rules re compliance with local rules,Paralegal,N,N,N,N,,,,,,,
FEE,L300,A107,,Draft notice of deposition re discovery issues,Paralegal,N,N,N,N,,,,,,,
FEE,L340,A107,,Draft statement of undisputed facts regarding procedural strategy,Associate,N,N,N,N,,,,,,,
FEE,L200,A107,,Revise discovery responses re motion practice,Associate,N,N,N,N,,,,,,,
FEE,L110,A112,,Analyze opposing counsel tactics regarding expert strategy,Partner,N,N,N,N,,,,,,,
FEE,L300,A107,,Draft initial disclosures regarding deposition strategy,Associate,N,N,N,N,,,,,,,
FEE,L120,A113,,Review correspondence for litigation strategy; Analyze case chronology; Analyze upcoming litigation milestones (follow-up),Paralegal,Y,N,N,N,,,,,,,
FEE,L200,A107,,Draft opposition to motion to compel re settlement framework,Associate,N,N,N,N,,,,,,,
FEE,L300,A103,,Prepare deposition plan and witness outline regarding deposition strategy with {NAME_PLACEHOLDER},Paralegal,N,N,N,N,,,,,,,
FEE,L200,A105,,Finalize motion submission strategy re mediation planning,Paralegal,N,N,N,N,,,,,,,
FEE,L240,A103,,Review motion package for local rule compliance re mediation planning,Paralegal,N,N,N,N,,,,,,,
FEE,L300,A110,,Prepare deposition cross outline regarding expert strategy with {NAME_PLACEHOLDER},Associate,N,N,N,N,,,,,,,
FEE,L200,A107,,Draft mediation brief re discovery issues,Associate,N,N,N,N,,,,,,,
FEE,L300,A110,,Prepare deposition cross outline regarding procedural strategy with {NAME_PLACEHOLDER},Associate,N,N,N,N,,,,,,,
FEE,L200,A106,,Mentor Associate on brief structure,Partner,N,N,N,N,,,,,,,
FEE,L500,A105,,Evaluate appeal issues regarding expert strategy,Partner,N,N,N,N,,,,,,,
FEE,L400,A112,,Review trial exhibit list re settlement framework,Partner,N,N,N,N,,,,,,,
FEE,L300,A110,,Prepare hearing strategy regarding deposition strategy,Paralegal,N,N,N,N,,,,,,,
FEE,L240,A110,,Review document vendor output for production issues re mediation planning,Paralegal,N,N,N,N,,,,,,,
FEE,L200,A101,,Approve final brief for court submission re mediation planning,Partner,N,N,N,N,,,,,,,
FEE,L200,A111,,Attend hearing and argue motion regarding expert strategy,Partner,N,N,N,N,,,,,,,
FEE,L400,A101,,Evaluate settlement options re trial preparation,Partner,N,N,N,N,,,,,,,
FEE,L110,A103,,Prepare deposition plan and witness outline regarding expert strategy,Paralegal,N,N,N,N,,,,,,,
FEE,L400,A101,,Strategy conference re case posture re trial preparation with {NAME_PLACEHOLDER},Partner,N,N,N,N,,,,,,,
FEE,L120,A113,,Analyze upcoming litigation milestones re mediation planning,Paralegal,N,N,N,N,,,,,,,
FEE,L310,A107,,Draft initial disclosures,Associate,N,N,N,N,,,,,,,
FEE,L200,A102,,Meet and confer with opposing counsel re settlement framework with {NAME_PLACEHOLDER},Associate,N,N,N,N,,,,,,,
FEE,L300,A107,,Draft subpoena to third party re discovery issues,Associate,N,N,N,N,,,,,,,
FEE,L110,A103,,Prepare deposition plan and witness outline regarding expert strategy,Paralegal,N,N,N,N,,,,,,,
FEE,L400,A111,,Prepare hearing strategy,Paralegal,N,N,N,N,,,,,,,
FEE,L300,A107,,Draft statement of undisputed facts regarding deposition strategy,Associate,N,N,N,N,,,,,,,
FEE,L300,A109,,Outline oral argument themes re discovery issues,Partner,N,N,N,N,,,,,,,
FEE,L300,A110,,Prepare deposition strategy for {NAME_PLACEHOLDER},Paralegal,N,N,N,N,,,,,,,
FEE,L240,A103,,Prepare deposition plan and witness outline re mediation planning,Paralegal,N,N,N,N,,,,,,,
FEE,L300,A110,,Analyze service requirements under applicable rules regarding deposition strategy,Paralegal,N,N,N,N,,,,,,,
FEE,L110,A107,,Analyze upcoming litigation milestones regarding expert strategy,Paralegal,N,N,N,N,,,,,,,
FEE,L220,A110,,Prepare witness examination outlines regarding procedural strategy,Partner,N,N,N,N,,,,,,,
FEE,L500,A110,,Evaluate settlement options re settlement framework,Partner,N,N,N,N,,,,,,,
FEE,L300,A110,,Prepare deposition cross outline regarding procedural strategy with {NAME_PLACEHOLDER},Associate,N,N,N,N,,,,,,,
FEE,L400,A103,,Prepare deposition plan and witness outline re trial preparation,Paralegal,N,N,N,N,,,,,,,
FEE,L240,A105,,Legal research on dispositive issues re mediation planning,Associate,N,N,N,N,,,,,,,
FEE,L200,A110,,Approve final brief for court submission regarding deposition strategy with {NAME_PLACEHOLDER},Partner,N,N,N,N,,,,,,,
FEE,L200,A107,,Draft motion for summary judgment regarding deposition strategy with {NAME_PLACEHOLDER},Associate,N,N,N,N,,,,,,,
FEE,L300,A110,,Review document vendor output for production issues regarding deposition strategy with {NAME_PLACEHOLDER},Paralegal,N,N,N,N,,,,,,,
FEE,L120,A106,,Analyze case chronology regarding litigation strategy,Paralegal,N,N,N,N,,,,,,,
FEE,L200,A107,,Draft motion for summary judgment re discovery issues,Associate,N,N,N,N,,,,,,,
FEE,L400,A111,,Prepare hearing strategy regarding expert strategy with {NAME_PLACEHOLDER},Paralegal,N,N,N,N,,,,,,,
FEE,L200,A111,,Attend hearing and argue motion regarding expert strategy,Partner,N,N,N,N,,,,,,,
FEE,L300,A113,,Review document set for production issues re discovery issues,Paralegal,N,N,N,N,,,,,,,
FEE,L200,A107,,Mentor Associate on brief structure re discovery issues,Partner,N,N,N,N,,,,,,,
FEE,L300,A107,,Draft notice of removal regarding deposition strategy,Associate,N,N,N,N,,,,,,,
FEE,L400,A107,,Draft statement of undisputed facts re trial preparation,Associate,N,N,N,N,,,,,,,
FEE,L110,A103,,Outline oral argument themes regarding expert strategy,Partner,N,N,N,N,,,,,,,
FEE,L410,A103,,Prepare witness examination outlines,Partner,N,N,N,N,,,,,,,
FEE,L310,A109,,Analyze privilege log entries re compliance with local rules,Paralegal,N,N,N,N,,,,,,,
FEE,L400,A107,,Draft protective order re compliance with local rules,Associate,N,N,N,N,,,,,,,
FEE,L200,A107,,High-level review of draft motion regarding deposition strategy,Partner,N,N,N,N,,,,,,,
FEE,L200,A110,,Finalize motion submission strategy regarding deposition strategy,Paralegal,N,N,N,N,,,,,,,
FEE,L110,A101,,Strategy conference re case posture regarding expert strategy with {NAME_PLACEHOLDER},Partner,N,N,N,N,,,,,,,
FEE,L300,A110,,Review case assessment and litigation priorities regarding deposition strategy,Partner,N,N,N,N,,,,,,,
FEE,L400,A107,,Revise privilege log entries re trial preparation,Associate,N,N,N,N,,,,,,,
FEE,L300,A105,,Track discovery deficiencies re mediation planning,Paralegal,N,N,N,N,,,,,,,
FEE,L300,A104,,Track discovery deficiencies regarding procedural strategy,Paralegal,N,N,N,N,,,,,,,
FEE,L300,A112,,Review discovery plan and priorities regarding procedural strategy,Partner,N,N,N,N,,,,,,,
FEE,L300,A110,,Review document vendor output for production issues regarding deposition strategy,Paralegal,N,N,N,N,,,,,,,
FEE,L200,A107,,Draft initial disclosures re motion practice,Associate,N,N,N,N,,,,,,,
FEE,L200,A107,,Draft reply brief regarding deposition strategy,Associate,N,N,N,N,,,,,,,
FEE,L330,A101,,Prepare for settlement conference re settlement framework,Partner,N,N,N,N,,,,,,,
FEE,L300,A108,,Prepare interrogatories and RFPs re settlement framework,Associate,N,N,N,N,,,,,,,
FEE,L200,A105,,Prepare jury instructions research re motion practice,Associate,N,N,N,N,,,,,,,
FEE,L310,A112,,Review opposing expert report re compliance with local rules,Associate,N,N,N,N,,,,,,,
FEE,L300,A107,,Draft notice of deposition re discovery issues,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A105,,Legal research on dispositive issues regarding litigation strategy,Associate,N,N,N,N,,,,,,,
FEE,L300,A110,,Approve deposition strategy regarding deposition strategy,Partner,N,N,N,N,,,,,,,
FEE,L330,A111,,Prepare witness availability chart re compliance with local rules,Paralegal,N,N,N,N,,,,,,,
FEE,L110,A112,,Review expert retention strategy,Partner,N,N,N,N,,,,,,,
FEE,L400,A111,,Prepare hearing strategy regarding procedural strategy with {NAME_PLACEHOLDER},Paralegal,N,N,N,N,,,,,,,
FEE,L110,A101,,Conference with {NAME_PLACEHOLDER} re strategy regarding expert strategy,Partner,N,N,N,N,,,,,,,
FEE,L200,A105,,Finalize motion submission strategy re motion practice,Paralegal,N,N,N,N,,,,,,,
FEE,L400,A111,,Prepare hearing strategy with {NAME_PLACEHOLDER},Paralegal,N,N,N,N,,,,,,,
FEE,L500,A110,,Evaluate settlement options re settlement framework,Partner,N,N,N,N,,,,,,,
FEE,L400,A111,,Prepare hearing strategy re trial preparation,Paralegal,N,N,N,N,,,,,,,
FEE,L200,A108,,Finalize motion submission strategy,Paralegal,N,N,N,N,,,,,,,
FEE,L300,A105,,Legal research on dispositive issues re discovery issues,Associate,N,N,N,N,,,,,,,
FEE,L300,A103,,Prepare deposition plan and witness outline re discovery issues with {NAME_PLACEHOLDER},Paralegal,N,N,N,N,,,,,,,
FEE,L240,A109,,Outline oral argument themes re mediation planning,Partner,N,N,N,N,,,,,,,
FEE,L300,A110,,Review and summarize deposition transcript re settlement framework,Associate,N,N,N,N,,,,,,,
FEE,L110,A101,,Strategy conference re case posture regarding procedural strategy; Analyze opposing counsel tactics; Review expert retention strategy (follow-up),Partner,Y,N,N,N,,,,,,,
FEE,L300,A110,,Review document set for production issues regarding deposition strategy,Paralegal,N,N,N,N,,,,,,,
FEE,L300,A107,,Draft notice of deposition regarding procedural strategy to {NAME_PLACEHOLDER},Paralegal,N,N,N,N,,,,,,,
FEE,L500,A101,,Evaluate appeal issues re settlement framework,Partner,N,N,N,N,,,,,,,
FEE,L120,A102,,Analyze service requirements under applicable rules regarding litigation strategy,Paralegal,N,N,N,N,,,,,,,
FEE,L300,A106,,Evaluate appeal issues re discovery issues,Partner,N,N,N,N,,,,,,,
FEE,L420,A112,,Analyze case chronology,Paralegal,N,N,N,N,,,,,,,
FEE,L400,A107,,Draft initial disclosures re trial preparation,Associate,N,N,N,N,,,,,,,
FEE,L200,A101,,Prepare for settlement conference re settlement framework with {NAME_PLACEHOLDER},Partner,N,N,N,N,,,,,,,
FEE,L200,A102,,Finalize motion submission strategy regarding procedural strategy,Paralegal,N,N,N,N,,,,,,,
FEE,L440,A107,,Draft protective order re settlement framework,Associate,N,N,N,N,,,,,,,
FEE,L200,A103,,Prepare deposition plan and witness outline re motion practice,Paralegal,N,N,N,N,,,,,,,
FEE,L200,A102,,Mentor Associate on brief structure re trial preparation,Partner,N,N,N,N,,,,,,,
FEE,L300,A101,,Draft pretrial conference statement regarding deposition strategy with {NAME_PLACEHOLDER},Associate,N,N,N,N,,,,,,,
FEE,L300,A107,,Revise discovery responses re settlement framework,Associate,N,N,N,N,,,,,,,
FEE,L100,A113,,Review correspondence for litigation strategy re settlement framework,Paralegal,N,N,N,N,,,,,,,
FEE,L400,A113,,Analyze exhibit set for hearing strategy regarding procedural strategy,Paralegal,N,N,N,N,,,,,,,
FEE,L200,A107,,High-level review of draft motion re discovery issues,Partner,N,N,N,N,,,,,,,
FEE,L110,A101,,Conference with {NAME_PLACEHOLDER} re strategy,Partner,N,N,N,N,,,,,,,
FEE,L400,A112,,Prepare exhibit list cross-references re settlement framework,Associate,N,N,N,N,,,,,,,
FEE,L200,A107,,Draft opposition to motion to compel regarding procedural strategy,Associate,N,N,N,N,,,,,,,
FEE,L300,A107,,Draft notice of deposition re mediation planning to {NAME_PLACEHOLDER},Paralegal,N,N,N,N,,,,,,,
FEE,L300,A107,,Draft protective order re discovery issues,Associate,N,N,N,N,,,,,,,
FEE,L300,A107,,Draft joint case management statement re discovery issues,Associate,N,N,N,N,,,,,,,
FEE,L330,A106,,Assess risk and exposure estimates regarding procedural strategy,Partner,N,N,N,N,,,,,,,
FEE,L200,A107,,Draft reply brief regarding procedural strategy,Associate,N,N,N,N,,,,,,,
FEE,L440,A106,,Outline oral argument themes re settlement framework,Partner,N,N,N,N,,,,,,,
FEE,L200,A107,,Draft mediation brief regarding deposition strategy,Associate,N,N,N,N,,,,,,,
FEE,L200,A110,,Prepare deposition cross outline re motion practice with {NAME_PLACEHOLDER},Associate,N,N,N,N,,,,,,,
FEE,L200,A105,,Research expert admissibility (Daubert) re motion practice,Associate,N,N,N,N,,,,,,,
FEE,L200,A103,,Mentor Associate on brief structure regarding expert strategy,Partner,N,N,N,N,,,,,,,
FEE,L300,A110,,Prepare exhibit list cross-references; Prepare deposition cross outline re mediation planning; Prepare hearing exhibit strategy and witness materials; Review and summarize deposition transcript,Associate,Y,N,N,N,,,,,,,
FEE,L300,A112,,Review discovery plan and priorities regarding expert strategy,Partner,N,N,N,N,,,,,,,
FEE,L310,A106,,Prepare witness examination outlines re compliance with local rules,Partner,N,N,N,N,,,,,,,
FEE,L200,A107,,Draft mediation brief regarding expert strategy,Associate,N,N,N,N,,,,,,,
FEE,L300,A110,,Review and summarize deposition transcript regarding procedural strategy with {NAME_PLACEHOLDER},Associate,N,N,N,N,,,,,,,
FEE,L400,A112,,Analyze document production for key facts re trial preparation,Associate,N,N,N,N,,,,,,,
FEE,L200,A101,,Assess risk and exposure estimates,Partner,N,N,N,N,,,,,,,
FEE,L300,A110,,Prepare trial notebook sections regarding deposition strategy with {NAME_PLACEHOLDER},Paralegal,N,N,N,N,,,,,,,
FEE,L200,A107,,Draft opposition to motion to compel regarding expert strategy,Associate,N,N,N,N,,,,,,,
FEE,L130,A107,,Draft responses to RFPs and RFAs,Associate,N,N,N,N,,,,,,,
FEE,L400,A111,,Prepare hearing strategy with {NAME_PLACEHOLDER},Paralegal,N,N,N,N,,,,,,,
FEE,L300,A108,,Prepare interrogatories and RFPs re compliance with local rules,Associate,N,N,N,N,,,,,,,
FEE,L120,A105,,Research sanctions standards regarding litigation strategy,Associate,N,N,N,N,,,,,,,
FEE,L110,A112,,Review expert retention strategy regarding litigation strategy,Partner,N,N,N,N,,,,,,,
FEE,L220,A107,,Draft initial disclosures re settlement framework,Associate,N,N,N,N,,,,,,,
FEE,L330,A106,,Assess risk and exposure estimates regarding procedural strategy,Partner,N,N,N,N,,,,,,,
FEE,L200,A113,,Analyze brief authorities and record citations regarding expert strategy,Paralegal,N,N,N,N,,,,,,,
FEE,L330,A103,,Analyze privilege log entries,Paralegal,N,N,N,N,,,,,,,
FEE,L400,A105,,Prepare exhibit list cross-references re mediation planning,Associate,N,N,N,N,,,,,,,
FEE,L200,A107,,Draft motion to dismiss re trial preparation,Associate,N,N,N,N,,,,,,,
FEE,L300,A110,,Prepare witness availability chart regarding deposition strategy with {NAME_PLACEHOLDER},Paralegal,N,N,N,N,,,,,,,
FEE,L200,A107,,High-level review of draft motion,Partner,N,N,N,N,,,,,,,
FEE,L120,A107,,Review document vendor output for production issues,Paralegal,N,N,N,N,,,,,,,
FEE,L400,A113,,Analyze exhibit set for hearing strategy re settlement framework,Paralegal,N,N,N,N,,,,,,,
FEE,L210,A107,,Draft protective order,Associate,N,N,N,N,,,,,,,
FEE,L240,A107,,Draft statement of undisputed facts re mediation planning,Associate,N,N,N,N,,,,,,,
FEE,L400,A105,,Research expert admissibility (Daubert) re trial preparation,Associate,N,N,N,N,,,,,,,
FEE,L200,A113,,Review correspondence for litigation strategy re trial preparation; Track discovery deficiencies re motion practice; Finalize motion submission strategy re settlement framework; Analyze service requirements under applicable rules re mediation planning,Paralegal,Y,N,N,N,,,,,,,
FEE,L200,A105,,Prepare deposition cross outline re mediation planning; Draft initial disclosures regarding litigation strategy; Draft responses to RFPs and RFAs re motion practice; Research sanctions standards (follow-up),Associate,Y,N,N,N,,,,,,,
FEE,L300,A107,,Draft notice of deposition re discovery issues,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A101,,Draft letter to {NAME_PLACEHOLDER} re settlement positions regarding litigation strategy,Associate,N,N,N,N,,,,,,,
FEE,L300,A110,,Prepare deposition strategy for {NAME_PLACEHOLDER},Paralegal,N,N,N,N,,,,,,,
FEE,L200,A107,,Draft mediation brief re trial preparation,Associate,N,N,N,N,,,,,,,
FEE,L120,A107,,Draft joint case management statement regarding litigation strategy,Associate,N,N,N,N,,,,,,,
FEE,L300,A107,,Draft notice of removal re discovery issues,Associate,N,N,N,N,,,,,,,
FEE,L220,A105,,Draft joint case management statement re settlement framework; Draft initial disclosures; Legal research on dispositive issues; Analyze document production for key facts; Draft statement of undisputed facts regarding procedural strategy,Associate,Y,N,N,N,,,,,,,
FEE,L440,A101,,Prepare for settlement conference regarding procedural strategy with {NAME_PLACEHOLDER},Partner,N,N,N,N,,,,,,,
FEE,L320,A107,,Draft notice of removal re settlement framework,Associate,N,N,N,N,,,,,,,
FEE,L400,A101,,Evaluate settlement options re trial preparation,Partner,N,N,N,N,,,,,,,
FEE,L200,A112,,Review trial exhibit list re motion practice,Partner,N,N,N,N,,,,,,,
FEE,L300,A110,,Review and summarize deposition transcript regarding procedural strategy with {NAME_PLACEHOLDER},Associate,N,N,N,N,,,,,,,
FEE,L400,A101,,Draft pretrial conference statement re compliance with local rules with {NAME_PLACEHOLDER},Associate,N,N,N,N,,,,,,,
FEE,L300,A110,,Approve deposition strategy regarding litigation strategy,Partner,N,N,N,N,,,,,,,
FEE,L230,A103,,Review motion package for local rule compliance,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A102,,Evaluate settlement options regarding litigation strategy,Partner,N,N,N,N,,,,,,,
FEE,L240,A103,,Prepare deposition plan and witness outline re mediation planning with {NAME_PLACEHOLDER},Paralegal,N,N,N,N,,,,,,,
FEE,L200,A107,,Draft opposition to motion to compel regarding litigation strategy,Associate,N,N,N,N,,,,,,,
FEE,L200,A109,,Mentor Associate on brief structure re compliance with local rules,Partner,N,N,N,N,,,,,,,
FEE,L500,A104,,Evaluate appeal issues,Partner,N,N,N,N,,,,,,,
FEE,L200,A111,,Attend hearing and argue motion re trial preparation,Partner,N,N,N,N,,,,,,,
FEE,L120,A102,,Evaluate settlement options regarding litigation strategy,Partner,N,N,N,N,,,,,,,
FEE,L110,A113,,Prepare witness examination outlines regarding expert strategy,Partner,N,N,N,N,,,,,,,
FEE,L520,A105,,Evaluate removal/remand options re settlement framework,Partner,N,N,N,N,,,,,,,
