LINE_ITEM_TYPE,TASK_CODE,ACTIVITY_CODE,EXPENSE_CODE,DESCRIPTION,TK_CLASSIFICATION,BLOCKBILLING,VAGUE,MISMATCH,PROHIBITED_ADMIN,MIN_AMOUNT,MAX_AMOUNT,MIN_UNITS,MAX_UNITS,UNIT_COST,RECEIPT_REQUIRED,GENERATE_RECEIPT
FEE,MA00,A107,,Confer with opposing transaction counsel regarding auction process and bid procedures for the strategic acquirer in a statutory merger involving a data analytics business with material operations in the Netherlands; focus on regulatory clearance.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding pre-signing communications protocol for the seller in a public company merger involving a fintech business with material operations in the United Kingdom; focus on purchase price mechanics.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A101,,Develop preliminary strategy for standstill provisions for the seller in a sale of a business division involving a specialty chemicals business with material operations in Ireland; focus on integration planning.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A107,,Confer with opposing transaction counsel regarding engagement letter with financial advisor for the private equity sponsor in a reverse triangular merger involving a logistics business with material operations in California; focus on representations and warranties.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A107,,Confer with opposing transaction counsel regarding pre-signing communications protocol for the seller in a bolt-on acquisition involving a cybersecurity business with material operations in Japan; focus on purchase price mechanics.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding letter of intent for the target company in a divestiture involving a industrial manufacturing business with material operations in Massachusetts; focus on closing certainty.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A109,,Participate in negotiation session concerning confidentiality agreement for the private equity sponsor in a sale of a business division involving a cybersecurity business with material operations in Japan; focus on interim operating covenants.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A103,,Draft and revise confidentiality agreement for the private equity sponsor in a private equity acquisition involving a professional services business with material operations in Illinois; focus on post-closing exposure.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding preliminary valuation terms for the strategic acquirer in a tender offer involving a logistics business with material operations in Germany; focus on regulatory clearance.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A101,,Develop preliminary strategy for auction process and bid procedures for the seller in a management buyout involving a fintech business with material operations in Australia; focus on integration planning.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A109,,Participate in negotiation session concerning auction process and bid procedures for the private equity sponsor in a going-private transaction involving a consumer products business with material operations in Australia; focus on closing conditions.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A104,,Review and analyze deal process timetable for the strategic acquirer in a asset purchase involving a cybersecurity business with material operations in Delaware; focus on integration planning.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding clean-team protocol for the strategic acquirer in a cross-border acquisition involving a specialty chemicals business with material operations in Massachusetts; focus on closing conditions.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A101,,Develop preliminary strategy for letter of intent for the target company in a bolt-on acquisition involving a cybersecurity business with material operations in Texas; focus on deal execution.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A103,,Draft and revise auction process and bid procedures for the target company in a going-private transaction involving a e-commerce business with material operations in Australia; focus on purchase price mechanics.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding preliminary valuation terms for the target company in a tender offer involving a industrial manufacturing business with material operations in Massachusetts; focus on regulatory clearance.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A107,,Confer with opposing transaction counsel regarding preliminary valuation terms for the private equity sponsor in a reverse triangular merger involving a biotechnology business with material operations in Japan; focus on closing certainty.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A104,,Review and analyze pre-signing communications protocol for the target company in a minority investment with acquisition rights involving a insurance business with material operations in France; focus on post-closing exposure.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A107,,Confer with opposing transaction counsel regarding pre-signing communications protocol for the buyer in a sale of a business division involving a automotive technology business with material operations in California; focus on deal execution.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding confidentiality agreement for the seller in a public company merger involving a data analytics business with material operations in New York; focus on risk allocation.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A103,,Draft and revise initial risk-allocation strategy for the strategic acquirer in a asset purchase involving a insurance business with material operations in Illinois; focus on risk allocation.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A109,,Participate in negotiation session concerning engagement letter with financial advisor for the strategic acquirer in a bolt-on acquisition involving a food and beverage business with material operations in Singapore; focus on consent requirements.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A104,,Review and analyze clean-team protocol for the target company in a management buyout involving a professional services business with material operations in Australia; focus on deal execution.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A109,,Participate in negotiation session concerning initial risk-allocation strategy for the target company in a reverse triangular merger involving a specialty chemicals business with material operations in Singapore; focus on closing certainty.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A103,,Draft and revise letter of intent for the strategic acquirer in a public company merger involving a biotechnology business with material operations in the United Kingdom; focus on closing conditions.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A107,,Confer with opposing transaction counsel regarding clean-team protocol for the target company in a cross-border acquisition involving a data analytics business with material operations in the Netherlands; focus on closing conditions.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding auction process and bid procedures for the private equity sponsor in a stock purchase involving a specialty chemicals business with material operations in Texas; focus on transaction documentation.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A103,,Draft and revise engagement letter with financial advisor for the strategic acquirer in a strategic acquisition involving a semiconductors business with material operations in New York; focus on representations and warranties.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A104,,Review and analyze initial risk-allocation strategy for the seller in a statutory merger involving a telecommunications business with material operations in Australia; focus on interim operating covenants.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A109,,Participate in negotiation session concerning preliminary valuation terms for the seller in a asset purchase involving a renewable energy business with material operations in New York; focus on transaction documentation.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding exclusivity agreement for the private equity sponsor in a divestiture involving a SaaS business with material operations in Massachusetts; focus on third-party approvals.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A103,,Draft and revise preliminary transaction structure for the buyer in a bolt-on acquisition involving a renewable energy business with material operations in Canada; focus on transaction documentation.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A101,,Develop preliminary strategy for preliminary valuation terms for the strategic acquirer in a asset purchase involving a SaaS business with material operations in New York; focus on deal execution.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A109,,Participate in negotiation session concerning engagement letter with financial advisor for the strategic acquirer in a statutory merger involving a cybersecurity business with material operations in Australia; focus on integration planning.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A109,,Participate in negotiation session concerning clean-team protocol for the target company in a statutory merger involving a industrial manufacturing business with material operations in the Netherlands; focus on closing certainty.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding confidentiality agreement for the target company in a bolt-on acquisition involving a insurance business with material operations in Germany; focus on post-closing exposure.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A107,,Confer with opposing transaction counsel regarding letter of intent for the buyer in a strategic acquisition involving a insurance business with material operations in the United Kingdom; focus on purchase price mechanics.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A109,,Participate in negotiation session concerning standstill provisions for the seller in a carve-out acquisition involving a automotive technology business with material operations in Canada; focus on consent requirements.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A101,,Develop preliminary strategy for auction process and bid procedures for the private equity sponsor in a cross-border acquisition involving a e-commerce business with material operations in the United Kingdom; focus on interim operating covenants.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A107,,Confer with opposing transaction counsel regarding engagement letter with financial advisor for the private equity sponsor in a cross-border acquisition involving a consumer products business with material operations in France; focus on transaction documentation.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A103,,Draft and revise pre-signing communications protocol for the buyer in a cross-border acquisition involving a consumer products business with material operations in Germany; focus on closing certainty.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A103,,Draft and revise initial risk-allocation strategy for the strategic acquirer in a management buyout involving a consumer products business with material operations in Canada; focus on deal execution.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A104,,Review and analyze pre-signing communications protocol for the strategic acquirer in a sale of a business division involving a biotechnology business with material operations in Germany; focus on transaction documentation.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding preliminary transaction structure for the target company in a strategic acquisition involving a biotechnology business with material operations in Massachusetts; focus on regulatory clearance.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A101,,Develop preliminary strategy for exclusivity agreement for the target company in a divestiture involving a enterprise software business with material operations in Massachusetts; focus on regulatory clearance.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A103,,Draft and revise engagement letter with financial advisor for the seller in a public company merger involving a e-commerce business with material operations in Illinois; focus on risk allocation.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A103,,Draft and revise confidentiality agreement for the private equity sponsor in a cross-border acquisition involving a specialty chemicals business with material operations in California; focus on post-closing exposure.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A101,,Develop preliminary strategy for engagement letter with financial advisor for the seller in a reverse triangular merger involving a healthcare services business with material operations in Australia; focus on risk allocation.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A107,,Confer with opposing transaction counsel regarding preliminary valuation terms for the buyer in a strategic acquisition involving a consumer products business with material operations in Canada; focus on purchase price mechanics.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A101,,Develop preliminary strategy for deal process timetable for the target company in a stock purchase involving a automotive technology business with material operations in Australia; focus on interim operating covenants.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A109,,Participate in negotiation session concerning confidentiality agreement for the buyer in a reverse triangular merger involving a insurance business with material operations in Australia; focus on regulatory clearance.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A104,,Review and analyze preliminary valuation terms for the buyer in a carve-out acquisition involving a fintech business with material operations in Canada; focus on interim operating covenants.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A103,,Draft and revise deal process timetable for the strategic acquirer in a sale of a business division involving a specialty chemicals business with material operations in Massachusetts; focus on closing certainty.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A107,,Confer with opposing transaction counsel regarding auction process and bid procedures for the seller in a carve-out acquisition involving a cybersecurity business with material operations in Australia; focus on regulatory clearance.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A101,,Develop preliminary strategy for clean-team protocol for the private equity sponsor in a stock purchase involving a industrial manufacturing business with material operations in the Netherlands; focus on post-closing exposure.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding pre-signing communications protocol for the private equity sponsor in a statutory merger involving a specialty chemicals business with material operations in Massachusetts; focus on third-party approvals.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A101,,Develop preliminary strategy for initial risk-allocation strategy for the private equity sponsor in a tender offer involving a renewable energy business with material operations in Singapore; focus on closing certainty.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A101,,Develop preliminary strategy for initial risk-allocation strategy for the buyer in a statutory merger involving a biotechnology business with material operations in Illinois; focus on transaction documentation.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding pre-signing communications protocol for the strategic acquirer in a stock purchase involving a healthcare services business with material operations in France; focus on post-closing exposure.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding preliminary valuation terms for the target company in a minority investment with acquisition rights involving a professional services business with material operations in Singapore; focus on third-party approvals.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A104,,Review and analyze initial risk-allocation strategy for the target company in a public company merger involving a enterprise software business with material operations in California; focus on closing certainty.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A101,,Develop preliminary strategy for standstill provisions for the target company in a statutory merger involving a e-commerce business with material operations in Japan; focus on closing certainty.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding engagement letter with financial advisor for the buyer in a bolt-on acquisition involving a semiconductors business with material operations in Massachusetts; focus on transaction documentation.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A109,,Participate in negotiation session concerning auction process and bid procedures for the private equity sponsor in a divestiture involving a logistics business with material operations in Ireland; focus on consent requirements.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A107,,Confer with opposing transaction counsel regarding exclusivity agreement for the seller in a cross-border acquisition involving a enterprise software business with material operations in Ireland; focus on post-closing exposure.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A107,,Confer with opposing transaction counsel regarding preliminary valuation terms for the seller in a public company merger involving a professional services business with material operations in Singapore; focus on closing conditions.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A107,,Confer with opposing transaction counsel regarding preliminary valuation terms for the private equity sponsor in a asset purchase involving a food and beverage business with material operations in the United Kingdom; focus on interim operating covenants.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A107,,Confer with opposing transaction counsel regarding deal process timetable for the strategic acquirer in a tender offer involving a automotive technology business with material operations in California; focus on consent requirements.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A107,,Confer with opposing transaction counsel regarding letter of intent for the private equity sponsor in a minority investment with acquisition rights involving a telecommunications business with material operations in Texas; focus on risk allocation.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding exclusivity agreement for the seller in a asset purchase involving a semiconductors business with material operations in Australia; focus on third-party approvals.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A103,,Draft and revise exclusivity agreement for the strategic acquirer in a carve-out acquisition involving a healthcare services business with material operations in Delaware; focus on closing conditions.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A107,,Confer with opposing transaction counsel regarding initial risk-allocation strategy for the buyer in a reverse triangular merger involving a logistics business with material operations in Illinois; focus on transaction documentation.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A107,,Confer with opposing transaction counsel regarding preliminary transaction structure for the seller in a carve-out acquisition involving a renewable energy business with material operations in Germany; focus on consent requirements.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A103,,Draft and revise deal process timetable for the target company in a sale of a business division involving a biotechnology business with material operations in Germany; focus on closing conditions.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A109,,Participate in negotiation session concerning preliminary transaction structure for the buyer in a management buyout involving a medical devices business with material operations in Illinois; focus on post-closing exposure.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding exclusivity agreement for the buyer in a reverse triangular merger involving a biotechnology business with material operations in Illinois; focus on post-closing exposure.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding deal process timetable for the seller in a sale of a business division involving a logistics business with material operations in New York; focus on consent requirements.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A104,,Review and analyze engagement letter with financial advisor for the seller in a public company merger involving a biotechnology business with material operations in Germany; focus on deal execution.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding auction process and bid procedures for the target company in a bolt-on acquisition involving a industrial manufacturing business with material operations in the Netherlands; focus on purchase price mechanics.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A109,,Participate in negotiation session concerning exclusivity agreement for the seller in a public company merger involving a renewable energy business with material operations in Illinois; focus on closing conditions.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A104,,Review and analyze letter of intent for the target company in a stock purchase involving a medical devices business with material operations in the United Kingdom; focus on third-party approvals.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A101,,Develop preliminary strategy for standstill provisions for the target company in a carve-out acquisition involving a medical devices business with material operations in Singapore; focus on transaction timing.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A104,,Review and analyze clean-team protocol for the buyer in a tender offer involving a fintech business with material operations in Germany; focus on transaction documentation.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A103,,Draft and revise exclusivity agreement for the private equity sponsor in a management buyout involving a logistics business with material operations in Singapore; focus on closing conditions.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A103,,Draft and revise auction process and bid procedures for the private equity sponsor in a going-private transaction involving a healthcare services business with material operations in Illinois; focus on post-closing exposure.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A101,,Develop preliminary strategy for exclusivity agreement for the private equity sponsor in a strategic acquisition involving a specialty chemicals business with material operations in Canada; focus on deal execution.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A103,,Draft and revise deal process timetable for the buyer in a sale of a business division involving a consumer products business with material operations in France; focus on post-closing exposure.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A103,,Draft and revise auction process and bid procedures for the target company in a statutory merger involving a e-commerce business with material operations in Illinois; focus on closing certainty.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A104,,Review and analyze confidentiality agreement for the target company in a sale of a business division involving a automotive technology business with material operations in New York; focus on representations and warranties.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A101,,Develop preliminary strategy for confidentiality agreement for the strategic acquirer in a minority investment with acquisition rights involving a automotive technology business with material operations in Ireland; focus on closing certainty.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A104,,Review and analyze initial risk-allocation strategy for the private equity sponsor in a bolt-on acquisition involving a SaaS business with material operations in the United Kingdom; focus on transaction timing.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A101,,Develop preliminary strategy for engagement letter with financial advisor for the seller in a sale of a business division involving a e-commerce business with material operations in Illinois; focus on transaction timing.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding confidentiality agreement for the target company in a strategic acquisition involving a professional services business with material operations in the United Kingdom; focus on transaction timing.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A104,,Review and analyze preliminary valuation terms for the target company in a stock purchase involving a healthcare services business with material operations in the Netherlands; focus on closing conditions.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A109,,Participate in negotiation session concerning preliminary valuation terms for the buyer in a reverse triangular merger involving a biotechnology business with material operations in Ireland; focus on interim operating covenants.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding initial risk-allocation strategy for the seller in a divestiture involving a renewable energy business with material operations in Canada; focus on consent requirements.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A109,,Participate in negotiation session concerning standstill provisions for the strategic acquirer in a divestiture involving a data analytics business with material operations in France; focus on representations and warranties.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A103,,Draft and revise engagement letter with financial advisor for the target company in a bolt-on acquisition involving a enterprise software business with material operations in France; focus on post-closing exposure.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A101,,Develop preliminary strategy for pre-signing communications protocol for the target company in a management buyout involving a cybersecurity business with material operations in Delaware; focus on third-party approvals.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A104,,Review and analyze standstill provisions for the target company in a strategic acquisition involving a e-commerce business with material operations in New York; focus on interim operating covenants.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A107,,Confer with opposing transaction counsel regarding letter of intent for the buyer in a statutory merger involving a food and beverage business with material operations in Illinois; focus on third-party approvals.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding letter of intent for the target company in a stock purchase involving a data analytics business with material operations in Singapore; focus on transaction documentation.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A103,,Draft and revise confidentiality agreement for the seller in a management buyout involving a medical devices business with material operations in Singapore; focus on regulatory clearance.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A109,,Participate in negotiation session concerning pre-signing communications protocol for the private equity sponsor in a minority investment with acquisition rights involving a enterprise software business with material operations in Singapore; focus on purchase price mechanics.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A107,,Confer with opposing transaction counsel regarding pre-signing communications protocol for the buyer in a private equity acquisition involving a automotive technology business with material operations in Ireland; focus on third-party approvals.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding exclusivity agreement for the strategic acquirer in a bolt-on acquisition involving a enterprise software business with material operations in New York; focus on integration planning.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A107,,Confer with opposing transaction counsel regarding pre-signing communications protocol for the target company in a stock purchase involving a professional services business with material operations in Australia; focus on third-party approvals.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding clean-team protocol for the strategic acquirer in a divestiture involving a automotive technology business with material operations in Singapore; focus on transaction documentation.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A103,,Draft and revise deal process timetable for the buyer in a public company merger involving a food and beverage business with material operations in Germany; focus on purchase price mechanics.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A109,,Participate in negotiation session concerning clean-team protocol for the seller in a carve-out acquisition involving a food and beverage business with material operations in Germany; focus on deal execution.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A107,,Confer with opposing transaction counsel regarding letter of intent for the private equity sponsor in a minority investment with acquisition rights involving a cybersecurity business with material operations in New York; focus on deal execution.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A109,,Participate in negotiation session concerning confidentiality agreement for the private equity sponsor in a divestiture involving a cybersecurity business with material operations in the Netherlands; focus on transaction timing.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding confidentiality agreement for the strategic acquirer in a divestiture involving a renewable energy business with material operations in Illinois; focus on closing conditions.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A109,,Participate in negotiation session concerning clean-team protocol for the seller in a stock purchase involving a fintech business with material operations in Singapore; focus on consent requirements.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A103,,Draft and revise confidentiality agreement for the seller in a private equity acquisition involving a industrial manufacturing business with material operations in Massachusetts; focus on risk allocation.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A103,,Draft and revise standstill provisions for the seller in a sale of a business division involving a fintech business with material operations in Illinois; focus on third-party approvals.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A109,,Participate in negotiation session concerning auction process and bid procedures for the target company in a strategic acquisition involving a consumer products business with material operations in the United Kingdom; focus on risk allocation.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A109,,Participate in negotiation session concerning engagement letter with financial advisor for the seller in a statutory merger involving a semiconductors business with material operations in Massachusetts; focus on representations and warranties.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A101,,Develop preliminary strategy for letter of intent for the private equity sponsor in a going-private transaction involving a professional services business with material operations in Japan; focus on purchase price mechanics.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A103,,Draft and revise clean-team protocol for the buyer in a statutory merger involving a enterprise software business with material operations in Texas; focus on representations and warranties.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A107,,Confer with opposing transaction counsel regarding pre-signing communications protocol for the private equity sponsor in a bolt-on acquisition involving a SaaS business with material operations in the United Kingdom; focus on closing certainty.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A103,,Draft and revise clean-team protocol for the private equity sponsor in a going-private transaction involving a healthcare services business with material operations in the Netherlands; focus on deal execution.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A101,,Develop preliminary strategy for pre-signing communications protocol for the target company in a stock purchase involving a data analytics business with material operations in the Netherlands; focus on closing certainty.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding confidentiality agreement for the strategic acquirer in a public company merger involving a biotechnology business with material operations in California; focus on risk allocation.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A101,,Develop preliminary strategy for deal process timetable for the target company in a asset purchase involving a healthcare services business with material operations in Texas; focus on transaction timing.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A103,,Draft and revise standstill provisions for the private equity sponsor in a management buyout involving a logistics business with material operations in the United Kingdom; focus on interim operating covenants.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A101,,Develop preliminary strategy for preliminary transaction structure for the private equity sponsor in a asset purchase involving a medical devices business with material operations in Canada; focus on deal execution.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A104,,Review and analyze exclusivity agreement for the buyer in a stock purchase involving a fintech business with material operations in Japan; focus on integration planning.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding deal process timetable for the seller in a reverse triangular merger involving a biotechnology business with material operations in Texas; focus on regulatory clearance.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A109,,Participate in negotiation session concerning initial risk-allocation strategy for the target company in a divestiture involving a medical devices business with material operations in Massachusetts; focus on transaction documentation.,Partner,N,N,N,N,,,,,,,
