TASK_CODE,ACTIVITY_CODE,DESCRIPTION,TK_CLASSIFICATION,Blockbilling
L300,A101,Conference with {NAME_PLACEHOLDER} re strategy re discovery issues,Partner,N
L200,A107,Draft opposition to motion to compel re case budget,Associate,N
L400,A107,Draft subpoena to third party re trial preparation,Associate,N
L110,A101,Manage document vendor instructions regarding expert strategy,Paralegal,N
L200,A110,Maintain case chronology re motion practice,Paralegal,N
L200,A102,Research sanctions standards; Prepare deposition cross outline with {NAME_PLACEHOLDER} re compliance with local rules; Draft protective order re compliance with local rules; Meet and confer with opposing counsel regarding expert strategy; Draft motion to dismiss re motion practice,Associate,Y
L400,A111,Coordinate hearing logistics re compliance with local rules,Paralegal,N
L200,A110,Mentor Associate on brief structure re settlement framework,Partner,N
L200,A112,Review discovery plan and priorities re motion practice,Partner,N
L240,A113,Assess risk and exposure estimates re mediation planning,Partner,N
L200,A107,Draft motion for summary judgment re mediation planning,Associate,N
L300,A110,Organize correspondence archive re deposition logistics,Paralegal,N
L200,A105,Prepare jury instructions research re motion practice,Associate,N
L200,A107,Draft opposition to motion to compel re settlement framework,Associate,N
L200,A107,Draft motion to dismiss re motion practice,Associate,N
L500,A105,Evaluate appeal issues regarding expert strategy,Partner,N
L240,A112,Analyze opposing counsel tactics re settlement framework,Partner,N
L320,A102,Meet and confer with opposing counsel re scheduling and deadlines,Associate,N
L340,A112,Review and analyze case law updates re settlement framework,Associate,N
L400,A113,Assemble exhibit binders re mediation planning,Paralegal,N
L320,A105,Legal research on dispositive issues re scheduling and deadlines,Associate,N
L110,A101,Strategy conference re case posture re case budget with {NAME_PLACEHOLDER},Partner,N
L200,A107,Draft reply brief re deposition logistics,Associate,N
L140,A113,Organize correspondence archive re case budget,Paralegal,N
L300,A101,Draft letter to {NAME_PLACEHOLDER} re settlement positions re deposition logistics,Associate,N
L400,A103,Arrange courier for courtesy copies re trial preparation,Paralegal,N
L130,A113,Update docket and calendar key dates re compliance with local rules,Paralegal,N
L300,A110,Prepare proof of service re deposition logistics with {NAME_PLACEHOLDER},Paralegal,N
L300,A105,Research expert admissibility (Daubert) re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L440,A107,Assess risk and exposure estimates re settlement framework,Partner,N
L200,A101,Strategy conference re case posture re motion practice with {NAME_PLACEHOLDER},Partner,N
L340,A111,Compile record citations re compliance with local rules,Paralegal,N
L330,A109,Prepare proof of service re compliance with local rules,Paralegal,N
L300,A107,Draft notice of deposition re discovery issues,Paralegal,N
L340,A107,Draft statement of undisputed facts re scheduling and deadlines,Associate,N
L200,A107,Revise discovery responses re motion practice,Associate,N
L110,A112,Analyze opposing counsel tactics regarding expert strategy,Partner,N
L300,A107,Draft initial disclosures re deposition logistics,Associate,N
L130,A113,Organize correspondence archive; Maintain case chronology; Update docket and calendar key dates (follow-up),Paralegal,Y
L200,A107,Draft opposition to motion to compel re settlement framework,Associate,N
L300,A103,Coordinate court reporter and videographer re deposition logistics with {NAME_PLACEHOLDER},Paralegal,N
L200,A105,E-file motion and manage service re mediation planning,Paralegal,N
L240,A103,Arrange courier for courtesy copies re mediation planning,Paralegal,N
L300,A110,Prepare deposition cross outline regarding expert strategy with {NAME_PLACEHOLDER},Associate,N
L200,A107,Draft mediation brief re discovery issues,Associate,N
L300,A110,Prepare deposition cross outline re scheduling and deadlines with {NAME_PLACEHOLDER},Associate,N
L200,A106,Mentor Associate on brief structure,Partner,N
L500,A105,Evaluate appeal issues regarding expert strategy,Partner,N
L400,A112,Review trial exhibit list re settlement framework,Partner,N
L300,A110,Coordinate hearing logistics re deposition logistics,Paralegal,N
L240,A110,Manage document vendor instructions re mediation planning,Paralegal,N
L200,A101,Approve final brief for filing re mediation planning,Partner,N
L200,A111,Attend hearing and argue motion regarding expert strategy,Partner,N
L400,A101,Evaluate settlement options re trial preparation,Partner,N
L110,A103,Coordinate court reporter and videographer regarding expert strategy,Paralegal,N
L400,A101,Strategy conference re case posture re trial preparation with {NAME_PLACEHOLDER},Partner,N
L130,A113,Update docket and calendar key dates re mediation planning,Paralegal,N
L310,A107,Draft initial disclosures,Associate,N
L200,A102,Meet and confer with opposing counsel re settlement framework with {NAME_PLACEHOLDER},Associate,N
L300,A107,Draft subpoena to third party re discovery issues,Associate,N
L110,A103,Coordinate court reporter and videographer regarding expert strategy,Paralegal,N
L400,A111,Coordinate hearing logistics,Paralegal,N
L300,A107,Draft statement of undisputed facts re deposition logistics,Associate,N
L300,A109,Outline oral argument themes re discovery issues,Partner,N
L300,A110,Schedule deposition with {NAME_PLACEHOLDER},Paralegal,N
L240,A103,Coordinate court reporter and videographer re mediation planning,Paralegal,N
L300,A110,Prepare proof of service re deposition logistics,Paralegal,N
L110,A107,Update docket and calendar key dates regarding expert strategy,Paralegal,N
L220,A110,Prepare witness examination outlines re scheduling and deadlines,Partner,N
L500,A110,Evaluate settlement options re settlement framework,Partner,N
L300,A110,Prepare deposition cross outline re scheduling and deadlines with {NAME_PLACEHOLDER},Associate,N
L400,A103,Coordinate court reporter and videographer re trial preparation,Paralegal,N
L240,A105,Legal research on dispositive issues re mediation planning,Associate,N
L200,A110,Approve final brief for filing re deposition logistics with {NAME_PLACEHOLDER},Partner,N
L200,A107,Draft motion for summary judgment re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L300,A110,Manage document vendor instructions re deposition logistics with {NAME_PLACEHOLDER},Paralegal,N
L140,A106,Maintain case chronology re case budget,Paralegal,N
L200,A107,Draft motion for summary judgment re discovery issues,Associate,N
L400,A111,Coordinate hearing logistics regarding expert strategy with {NAME_PLACEHOLDER},Paralegal,N
L200,A111,Attend hearing and argue motion regarding expert strategy,Partner,N
L300,A113,Bates label and organize document set re discovery issues,Paralegal,N
L200,A107,Mentor Associate on brief structure re discovery issues,Partner,N
L300,A107,Draft notice of removal re deposition logistics,Associate,N
L400,A107,Draft statement of undisputed facts re trial preparation,Associate,N
L110,A103,Outline oral argument themes regarding expert strategy,Partner,N
L410,A103,Prepare witness examination outlines,Partner,N
L310,A109,Update privilege log spreadsheet re compliance with local rules,Paralegal,N
L400,A107,Draft protective order re compliance with local rules,Associate,N
L200,A107,High-level review of draft motion re deposition logistics,Partner,N
L200,A110,E-file motion and manage service re deposition logistics,Paralegal,N
L110,A101,Strategy conference re case posture regarding expert strategy with {NAME_PLACEHOLDER},Partner,N
L300,A110,Review case budget and resourcing re deposition logistics,Partner,N
L400,A107,Revise privilege log entries re trial preparation,Associate,N
L300,A105,Track discovery deficiencies re mediation planning,Paralegal,N
L300,A104,Track discovery deficiencies re scheduling and deadlines,Paralegal,N
L300,A112,Review discovery plan and priorities re scheduling and deadlines,Partner,N
L300,A110,Manage document vendor instructions re deposition logistics,Paralegal,N
L200,A107,Draft initial disclosures re motion practice,Associate,N
L200,A107,Draft reply brief re deposition logistics,Associate,N
L330,A101,Prepare for settlement conference re settlement framework,Partner,N
L300,A108,Prepare interrogatories and RFPs re settlement framework,Associate,N
L200,A105,Prepare jury instructions research re motion practice,Associate,N
L310,A112,Review opposing expert report re compliance with local rules,Associate,N
L300,A107,Draft notice of deposition re discovery issues,Paralegal,N
L140,A105,Legal research on dispositive issues re case budget,Associate,N
L300,A110,Approve deposition strategy re deposition logistics,Partner,N
L330,A111,Prepare witness availability chart re compliance with local rules,Paralegal,N
L110,A112,Review expert retention strategy,Partner,N
L400,A111,Coordinate hearing logistics re scheduling and deadlines with {NAME_PLACEHOLDER},Paralegal,N
L110,A101,Conference with {NAME_PLACEHOLDER} re strategy regarding expert strategy,Partner,N
L200,A105,E-file motion and manage service re motion practice,Paralegal,N
L400,A111,Coordinate hearing logistics with {NAME_PLACEHOLDER},Paralegal,N
L500,A110,Evaluate settlement options re settlement framework,Partner,N
L400,A111,Coordinate hearing logistics re trial preparation,Paralegal,N
L200,A108,E-file motion and manage service,Paralegal,N
L300,A105,Legal research on dispositive issues re discovery issues,Associate,N
L300,A103,Coordinate court reporter and videographer re discovery issues with {NAME_PLACEHOLDER},Paralegal,N
L240,A109,Outline oral argument themes re mediation planning,Partner,N
L300,A110,Review and summarize deposition transcript re settlement framework,Associate,N
L110,A101,Strategy conference re case posture re scheduling and deadlines; Analyze opposing counsel tactics; Review expert retention strategy (follow-up),Partner,Y
L300,A110,Bates label and organize document set re deposition logistics,Paralegal,N
L300,A107,Draft notice of deposition re scheduling and deadlines to {NAME_PLACEHOLDER},Paralegal,N
L500,A101,Evaluate appeal issues re settlement framework,Partner,N
L140,A102,Prepare proof of service re case budget,Paralegal,N
L300,A106,Evaluate appeal issues re discovery issues,Partner,N
L420,A112,Maintain case chronology,Paralegal,N
L400,A107,Draft initial disclosures re trial preparation,Associate,N
L200,A101,Prepare for settlement conference re settlement framework with {NAME_PLACEHOLDER},Partner,N
L200,A102,E-file motion and manage service re scheduling and deadlines,Paralegal,N
L440,A107,Draft protective order re settlement framework,Associate,N
L200,A103,Coordinate court reporter and videographer re motion practice,Paralegal,N
L200,A102,Mentor Associate on brief structure re trial preparation,Partner,N
L300,A101,Draft pretrial conference statement re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L300,A107,Revise discovery responses re settlement framework,Associate,N
L100,A113,Organize correspondence archive re settlement framework,Paralegal,N
L400,A113,Assemble exhibit binders re scheduling and deadlines,Paralegal,N
L200,A107,High-level review of draft motion re discovery issues,Partner,N
L110,A101,Conference with {NAME_PLACEHOLDER} re strategy,Partner,N
L400,A112,Prepare exhibit list cross-references re settlement framework,Associate,N
L200,A107,Draft opposition to motion to compel re scheduling and deadlines,Associate,N
L300,A107,Draft notice of deposition re mediation planning to {NAME_PLACEHOLDER},Paralegal,N
L300,A107,Draft protective order re discovery issues,Associate,N
L300,A107,Draft joint case management statement re discovery issues,Associate,N
L330,A106,Assess risk and exposure estimates re scheduling and deadlines,Partner,N
L200,A107,Draft reply brief re scheduling and deadlines,Associate,N
L440,A106,Outline oral argument themes re settlement framework,Partner,N
L200,A107,Draft mediation brief re deposition logistics,Associate,N
L200,A110,Prepare deposition cross outline re motion practice with {NAME_PLACEHOLDER},Associate,N
L200,A105,Research expert admissibility (Daubert) re motion practice,Associate,N
L200,A103,Mentor Associate on brief structure regarding expert strategy,Partner,N
L300,A110,Prepare exhibit list cross-references; Prepare deposition cross outline re mediation planning; Prepare hearing binder and exhibits; Review and summarize deposition transcript,Associate,Y
L300,A112,Review discovery plan and priorities regarding expert strategy,Partner,N
L310,A106,Prepare witness examination outlines re compliance with local rules,Partner,N
L200,A107,Draft mediation brief regarding expert strategy,Associate,N
L300,A110,Review and summarize deposition transcript re scheduling and deadlines with {NAME_PLACEHOLDER},Associate,N
L400,A112,Analyze document production for key facts re trial preparation,Associate,N
L200,A101,Assess risk and exposure estimates,Partner,N
L300,A110,Prepare trial notebook sections re deposition logistics with {NAME_PLACEHOLDER},Paralegal,N
L200,A107,Draft opposition to motion to compel regarding expert strategy,Associate,N
L130,A107,Draft responses to RFPs and RFAs,Associate,N
L400,A111,Coordinate hearing logistics with {NAME_PLACEHOLDER},Paralegal,N
L300,A108,Prepare interrogatories and RFPs re compliance with local rules,Associate,N
L140,A105,Research sanctions standards re case budget,Associate,N
L110,A112,Review expert retention strategy re case budget,Partner,N
L220,A107,Draft initial disclosures re settlement framework,Associate,N
L330,A106,Assess risk and exposure estimates re scheduling and deadlines,Partner,N
L200,A113,Cite-check and proof brief regarding expert strategy,Paralegal,N
L330,A103,Update privilege log spreadsheet,Paralegal,N
L400,A105,Prepare exhibit list cross-references re mediation planning,Associate,N
L200,A107,Draft motion to dismiss re trial preparation,Associate,N
L300,A110,Prepare witness availability chart re deposition logistics with {NAME_PLACEHOLDER},Paralegal,N
L200,A107,High-level review of draft motion,Partner,N
L140,A107,Manage document vendor instructions,Paralegal,N
L400,A113,Assemble exhibit binders re settlement framework,Paralegal,N
L210,A107,Draft protective order,Associate,N
L240,A107,Draft statement of undisputed facts re mediation planning,Associate,N
L400,A105,Research expert admissibility (Daubert) re trial preparation,Associate,N
L200,A113,Organize correspondence archive re trial preparation; Track discovery deficiencies re motion practice; E-file motion and manage service re settlement framework; Prepare proof of service re mediation planning,Paralegal,Y
L200,A105,Prepare deposition cross outline re mediation planning; Draft initial disclosures re case budget; Draft responses to RFPs and RFAs re motion practice; Research sanctions standards (follow-up),Associate,Y
L300,A107,Draft notice of deposition re discovery issues,Paralegal,N
L140,A101,Draft letter to {NAME_PLACEHOLDER} re settlement positions re case budget,Associate,N
L300,A110,Schedule deposition with {NAME_PLACEHOLDER},Paralegal,N
L200,A107,Draft mediation brief re trial preparation,Associate,N
L140,A107,Draft joint case management statement re case budget,Associate,N
L300,A107,Draft notice of removal re discovery issues,Associate,N
L220,A105,Draft joint case management statement re settlement framework; Draft initial disclosures; Legal research on dispositive issues; Analyze document production for key facts; Draft statement of undisputed facts re scheduling and deadlines,Associate,Y
L440,A101,Prepare for settlement conference re scheduling and deadlines with {NAME_PLACEHOLDER},Partner,N
L320,A107,Draft notice of removal re settlement framework,Associate,N
L400,A101,Evaluate settlement options re trial preparation,Partner,N
L200,A112,Review trial exhibit list re motion practice,Partner,N
L300,A110,Review and summarize deposition transcript re scheduling and deadlines with {NAME_PLACEHOLDER},Associate,N
L400,A101,Draft pretrial conference statement re compliance with local rules with {NAME_PLACEHOLDER},Associate,N
L300,A110,Approve deposition strategy re case budget,Partner,N
L230,A103,Arrange courier for courtesy copies,Paralegal,N
L140,A102,Evaluate settlement options re case budget,Partner,N
L240,A103,Coordinate court reporter and videographer re mediation planning with {NAME_PLACEHOLDER},Paralegal,N
L200,A107,Draft opposition to motion to compel re case budget,Associate,N
L200,A109,Mentor Associate on brief structure re compliance with local rules,Partner,N
L500,A104,Evaluate appeal issues,Partner,N
L200,A111,Attend hearing and argue motion re trial preparation,Partner,N
L140,A102,Evaluate settlement options re case budget,Partner,N
L110,A113,Prepare witness examination outlines regarding expert strategy,Partner,N
L520,A105,Evaluate removal/remand options re settlement framework,Partner,N
L300,A107,Revise privilege log entries re discovery issues,Associate,N
L300,A103,Arrange courier for courtesy copies re discovery issues,Paralegal,N
L300,A110,Approve deposition strategy re deposition logistics,Partner,N
L300,A110,Review and summarize deposition transcript,Associate,N
L500,A105,Evaluate appeal issues regarding expert strategy,Partner,N
L200,A110,Approve final brief for filing re trial preparation,Partner,N
L200,A107,Review and summarize deposition transcript re case budget; Review and analyze case law updates re motion practice; Revise privilege log entries; Revise discovery responses re scheduling and deadlines,Associate,Y
L200,A107,Draft motion to dismiss re trial preparation,Associate,N
L110,A101,Conference with {NAME_PLACEHOLDER} re strategy re compliance with local rules,Partner,N
L300,A110,Approve deposition strategy re mediation planning,Partner,N
L300,A101,Prepare for settlement conference re discovery issues,Partner,N
L300,A112,Analyze document production for key facts re discovery issues,Associate,N
L300,A110,Update docket and calendar key dates re deposition logistics,Paralegal,N
L200,A106,Approve final brief for filing re scheduling and deadlines,Partner,N
L300,A110,Review and summarize deposition transcript re trial preparation,Associate,N
L140,A107,Draft subpoena to third party re case budget,Associate,N
L300,A109,Evaluate removal/remand options re discovery issues,Partner,N
L400,A105,Legal research on dispositive issues re trial preparation,Associate,N
L430,A112,Review opposing expert report,Associate,N
L110,A101,Strategy conference re case posture with {NAME_PLACEHOLDER},Partner,N
L300,A110,Update privilege log spreadsheet re deposition logistics with {NAME_PLACEHOLDER},Paralegal,N
L400,A104,Manage document vendor instructions re trial preparation,Paralegal,N
L200,A107,Draft notice of deposition re motion practice to {NAME_PLACEHOLDER},Paralegal,N
L200,A107,Draft joint case management statement re motion practice,Associate,N
L300,A107,Draft notice of deposition re settlement framework to {NAME_PLACEHOLDER},Paralegal,N
L240,A105,Research expert admissibility (Daubert) re mediation planning,Associate,N
L140,A107,Draft protective order re case budget,Associate,N
L300,A110,Prepare deposition cross outline re mediation planning,Associate,N
L300,A107,Revise discovery responses re scheduling and deadlines,Associate,N
L200,A111,Coordinate hearing logistics re motion practice,Paralegal,N
L240,A105,Research sanctions standards re mediation planning,Associate,N
L400,A112,Review trial exhibit list re trial preparation,Partner,N
L300,A110,Prepare witness availability chart re deposition logistics,Paralegal,N
L330,A102,Meet and confer with opposing counsel re compliance with local rules,Associate,N
L430,A102,Meet and confer with opposing counsel,Associate,N
L420,A112,Analyze document production for key facts,Associate,N
L110,A107,Draft statement of undisputed facts,Associate,N
L240,A113,Bates label and organize document set re scheduling and deadlines,Paralegal,N
L400,A101,Draft pretrial conference statement re trial preparation with {NAME_PLACEHOLDER},Associate,N
L300,A110,Review discovery plan and priorities re deposition logistics,Partner,N
L300,A107,Draft protective order re deposition logistics,Associate,N
L130,A113,Bates label and organize document set,Paralegal,N
L110,A105,Research expert admissibility (Daubert) regarding expert strategy,Associate,N
L200,A102,E-file motion and manage service re discovery issues,Paralegal,N
L110,A101,Strategy conference re case posture re scheduling and deadlines,Partner,N
L110,A111,Evaluate settlement options regarding expert strategy,Partner,N
L410,A107,Revise privilege log entries re settlement framework,Associate,N
L200,A107,Draft reply brief re mediation planning,Associate,N
L300,A112,Review discovery plan and priorities,Partner,N
L300,A112,Analyze opposing counsel tactics re discovery issues,Partner,N
L300,A110,Schedule deposition with {NAME_PLACEHOLDER} re compliance with local rules,Paralegal,N
L400,A107,Prepare trial notebook sections re settlement framework,Paralegal,N
L200,A107,High-level review of draft motion re scheduling and deadlines,Partner,N
L200,A110,E-file motion and manage service re deposition logistics,Paralegal,N
L200,A103,Approve final brief for filing re motion practice,Partner,N
L200,A111,Cite-check and proof brief re settlement framework,Paralegal,N
L200,A107,Draft mediation brief re motion practice,Associate,N
L400,A111,Coordinate hearing logistics re settlement framework with {NAME_PLACEHOLDER},Paralegal,N
L300,A110,Evaluate appeal issues re deposition logistics,Partner,N
L300,A110,Approve deposition strategy re mediation planning,Partner,N
L300,A110,Approve deposition strategy re discovery issues with {NAME_PLACEHOLDER},Partner,N
L300,A110,Prepare deposition outline for {NAME_PLACEHOLDER} regarding expert strategy,Associate,N
L110,A113,Bates label and organize document set regarding expert strategy,Paralegal,N
L200,A103,Manage document vendor instructions re motion practice,Paralegal,N
L400,A112,Review trial exhibit list regarding expert strategy,Partner,N
L200,A106,Approve final brief for filing re scheduling and deadlines,Partner,N
L300,A110,Prepare witness availability chart re deposition logistics with {NAME_PLACEHOLDER},Paralegal,N
L300,A110,Prepare deposition outline for {NAME_PLACEHOLDER} re case budget,Associate,N
L400,A111,Prepare hearing binder and exhibits re compliance with local rules,Associate,N
L200,A110,Prepare exhibit list cross-references re motion practice,Associate,N
L300,A103,Coordinate court reporter and videographer re deposition logistics with {NAME_PLACEHOLDER},Paralegal,N
L400,A111,Coordinate hearing logistics re compliance with local rules,Paralegal,N
L320,A105,Legal research on dispositive issues re scheduling and deadlines,Associate,N
L300,A107,Revise discovery responses re trial preparation,Associate,N
L300,A110,Coordinate hearing logistics re deposition logistics,Paralegal,N
L240,A113,Bates label and organize document set re mediation planning,Paralegal,N
L130,A112,Review opposing expert report re scheduling and deadlines,Associate,N
L300,A113,Prepare exhibit list cross-references re discovery issues,Associate,N
L300,A101,Draft pretrial conference statement re deposition logistics,Associate,N
L100,A103,Coordinate court reporter and videographer re settlement framework with {NAME_PLACEHOLDER},Paralegal,N
L200,A107,Draft notice of deposition re motion practice,Paralegal,N
L200,A105,E-file motion and manage service re motion practice,Paralegal,N
L200,A105,Legal research on dispositive issues re motion practice,Associate,N
L400,A111,Coordinate hearing logistics with {NAME_PLACEHOLDER},Paralegal,N
L200,A113,Assemble exhibit binders re motion practice,Paralegal,N
L400,A111,Evaluate removal/remand options re trial preparation,Partner,N
L200,A101,Analyze opposing counsel tactics; Review expert retention strategy re mediation planning; Conference with {NAME_PLACEHOLDER} re strategy; Mentor Associate on brief structure; Evaluate removal/remand options,Partner,Y
L140,A101,Prepare for settlement conference re case budget with {NAME_PLACEHOLDER},Partner,N
L300,A103,Coordinate court reporter and videographer re case budget; Manage document vendor instructions re discovery issues; Maintain case chronology re trial preparation; Schedule deposition with {NAME_PLACEHOLDER} re settlement framework; Arrange courier for courtesy copies,Paralegal,Y
L330,A105,Prepare jury instructions research re settlement framework,Associate,N
L300,A107,Revise discovery responses re trial preparation,Associate,N
L240,A102,Meet and confer with opposing counsel re mediation planning,Associate,N
L140,A103,Arrange courier for courtesy copies re case budget,Paralegal,N
L300,A110,Approve deposition strategy re deposition logistics with {NAME_PLACEHOLDER},Partner,N
L200,A111,Evaluate settlement options re motion practice,Partner,N
L200,A105,Legal research on dispositive issues; Prepare deposition cross outline; Research sanctions standards; Draft mediation brief,Associate,Y
L300,A110,Approve deposition strategy re settlement framework with {NAME_PLACEHOLDER},Partner,N
L200,A111,Attend hearing and argue motion,Partner,N
L320,A102,Prepare and serve subpoenas,Paralegal,N
L400,A113,Assemble exhibit binders regarding expert strategy,Paralegal,N
L400,A113,Assemble exhibit binders re case budget,Paralegal,N
L300,A107,Draft joint case management statement re deposition logistics,Associate,N
L200,A110,Attend hearing and argue motion re deposition logistics,Partner,N
L300,A106,Prepare proof of service re discovery issues,Paralegal,N
L200,A102,Meet and confer with opposing counsel re motion practice with {NAME_PLACEHOLDER},Associate,N
L300,A107,Draft subpoena to third party re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L300,A112,Review discovery plan and priorities,Partner,N
L200,A107,Draft reply brief re settlement framework,Associate,N
L140,A103,Arrange courier for courtesy copies re case budget,Paralegal,N
L400,A107,Prepare trial notebook sections re settlement framework,Paralegal,N
L110,A101,Conference with {NAME_PLACEHOLDER} re strategy re case budget,Partner,N
L300,A102,Meet and confer with opposing counsel re discovery issues with {NAME_PLACEHOLDER},Associate,N
L300,A110,Prepare deposition outline for {NAME_PLACEHOLDER} re scheduling and deadlines,Associate,N
L400,A112,Analyze document production for key facts re trial preparation,Associate,N
L300,A101,Strategy conference re case posture re discovery issues with {NAME_PLACEHOLDER},Partner,N
L200,A105,Prepare trial notebook sections re trial preparation; Cite-check and proof brief; Update docket and calendar key dates re motion practice; Prepare proof of service,Paralegal,Y
L400,A111,Coordinate hearing logistics re case budget,Paralegal,N
L300,A110,Update docket and calendar key dates re deposition logistics,Paralegal,N
L430,A107,Draft responses to RFPs and RFAs re compliance with local rules,Associate,N
L200,A107,Draft mediation brief re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L200,A107,Draft motion to dismiss re settlement framework,Associate,N
L300,A110,Prepare deposition outline for {NAME_PLACEHOLDER} re compliance with local rules,Associate,N
L200,A111,Cite-check and proof brief re settlement framework,Paralegal,N
L400,A111,Prepare trial notebook sections,Paralegal,N
L100,A113,Organize correspondence archive re settlement framework,Paralegal,N
L240,A102,Maintain case chronology re mediation planning,Paralegal,N
L300,A110,Prepare proof of service re deposition logistics,Paralegal,N
L400,A113,Assemble exhibit binders re scheduling and deadlines,Paralegal,N
L110,A107,Draft notice of removal,Associate,N
L200,A111,Attend hearing and argue motion regarding expert strategy,Partner,N
L300,A107,Draft notice of deposition re mediation planning to {NAME_PLACEHOLDER},Paralegal,N
L330,A103,Update privilege log spreadsheet,Paralegal,N
L330,A109,Prepare witness availability chart re scheduling and deadlines,Paralegal,N
L200,A107,Draft reply brief re discovery issues,Associate,N
L300,A110,Prepare hearing binder and exhibits re deposition logistics,Associate,N
L300,A110,Prepare deposition outline for {NAME_PLACEHOLDER} re scheduling and deadlines,Associate,N
L400,A111,Coordinate hearing logistics re case budget with {NAME_PLACEHOLDER},Paralegal,N
L300,A110,Schedule deposition with {NAME_PLACEHOLDER} re compliance with local rules,Paralegal,N
L400,A107,Draft responses to RFPs and RFAs re trial preparation,Associate,N
L200,A107,Draft opposition to motion to compel re compliance with local rules,Associate,N
L300,A105,Research sanctions standards re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L100,A111,Maintain case chronology re compliance with local rules,Paralegal,N
L300,A101,Strategy conference re case posture re deposition logistics,Partner,N
L140,A112,Analyze document production for key facts re compliance with local rules,Associate,N
L200,A113,Prepare proof of service; Bates label and organize document set; Maintain case chronology re motion practice,Paralegal,Y
L440,A107,Draft protective order re settlement framework,Associate,N
L320,A113,Bates label and organize document set re settlement framework,Paralegal,N
L300,A107,Revise discovery responses re deposition logistics,Associate,N
L200,A107,Draft reply brief re compliance with local rules,Associate,N
